STEP;C11;GEM;NP;OCB;OCC;OCG;OCN;ONC;TOTAL
0;3236.46630859375;24879.646484375;1.4119975566864014;3087.670654296875;14846.30859375;3023.447021484375;5489.78955078125;28352.41015625;82917.4921875
1;3349.7333984375;25047.76953125;0.4706658720970154;3043.179931640625;14884.3173828125;2823.927490234375;5466.93359375;28776.681640625;83393.15625
2;3477.39892578125;24575.041015625;0.0;2616.102783203125;15027.302734375;2679.8994140625;5693.9970703125;29059.822265625;83129.8125
3;3698.819580078125;23618.62109375;0.0;2931.970947265625;15393.0654296875;2752.875244140625;5439.12744140625;29144.103515625;82978.75
4;3267.908203125;23488.61328125;1.1766647100448608;3211.4384765625;14792.9501953125;2771.76611328125;5371.0869140625;28248.39453125;81153.3046875
5;3178.812744140625;23811.52734375;0.2353329360485077;3013.12353515625;15044.1220703125;2769.511962890625;5041.8896484375;28513.845703125;81373.296875
6;2974.02978515625;24199.158203125;4.471325874328613;2711.087158203125;14810.810546875;3134.46484375;5201.24169921875;28170.998046875;81206.3984375
7;2932.141357421875;24047.404296875;0.2353329360485077;2946.77001953125;15114.7646484375;2920.740478515625;5049.30517578125;28046.998046875;81058.3125
8;2612.604736328125;23587.56640625;2.5886621475219727;2942.24462890625;15099.9013671875;2994.8017578125;5375.0244140625;27372.681640625;79987.1796875
9;2692.530517578125;23586.044921875;5.647990703582764;3130.317138671875;14593.1337890625;3079.123046875;4987.50634765625;28595.98828125;80670.15625
10;2980.49560546875;23439.208984375;0.0;2838.559814453125;15018.361328125;3143.0810546875;5368.3974609375;28305.5234375;81093.796875
11;2879.68798828125;22940.0390625;0.4706658720970154;2972.7841796875;14973.1494140625;3086.67724609375;5502.2275390625;28087.732421875;80442.6953125
12;2660.894775390625;22242.45703125;0.2353329360485077;2731.742919921875;15349.01953125;3248.1005859375;5198.490234375;27611.15234375;79042.3203125
13;2707.007568359375;22844.12890625;0.9413317441940308;2556.9619140625;14598.73828125;3049.9892578125;5080.59765625;27565.310546875;78403.4921875
14;2763.0546875;22878.10546875;1.1766645908355713;2995.4462890625;15247.4423828125;2802.55078125;5187.640625;28021.142578125;79896.6640625
15;2722.19140625;22857.138671875;0.0;2606.63623046875;14432.220703125;2926.64697265625;4860.2734375;28606.2109375;79011.4375
16;2832.61962890625;23101.34765625;0.4706658720970154;2399.11376953125;14535.080078125;3052.989990234375;5090.3955078125;28173.1640625;79185.15625
17;2736.133056640625;22744.115234375;0.0;2623.093017578125;14774.3427734375;2850.93896484375;5223.4306640625;28621.220703125;79573.515625
18;2839.345703125;22219.126953125;1.1766647100448608;2714.76171875;14394.8095703125;2559.4697265625;5068.19775390625;28379.931640625;78176.703125
19;2844.405029296875;23235.90234375;0.4706658720970154;2712.213623046875;14804.525390625;2823.50732421875;5001.7978515625;28392.607421875;79815.25
20;2741.52099609375;21968.0078125;1.411997675895691;2677.5263671875;14884.06640625;2894.353515625;4963.47900390625;28790.767578125;78920.8515625
21;2833.71728515625;22268.0234375;1.1766645908355713;2642.83984375;14964.27734375;2697.57470703125;4855.7109375;28254.12109375;78517.203125
22;3049.316650390625;22311.314453125;0.7059987783432007;2216.257568359375;14420.3896484375;2858.6943359375;4769.90283203125;27547.193359375;77173.71875
23;2978.258544921875;21712.177734375;2.1179964542388916;2570.241943359375;14223.5751953125;2802.129150390625;4833.81201171875;27828.970703125;76950.953125
24;2879.49560546875;21883.48828125;1.4119975566864014;2643.46435546875;14405.9404296875;2604.658203125;5050.63330078125;29312.640625;78781.8359375
25;2956.115966796875;21995.494140625;2.823995351791382;2857.039794921875;15209.2080078125;2811.85205078125;5206.97216796875;29035.0625;80074.7734375
26;2860.228515625;22696.6171875;2.5886623859405518;2631.987060546875;14884.0126953125;2683.883544921875;5451.96630859375;27709.755859375;78921.1875
27;2751.23876953125;21594.1015625;5.883323669433594;2475.098388671875;14241.6142578125;2545.535400390625;5089.859375;26658.326171875;75361.7265625
28;2501.735107421875;21594.083984375;2.3533294200897217;2413.627197265625;14562.8759765625;2539.94482421875;5087.2978515625;28121.98828125;76823.6328125
29;2735.088623046875;21767.8359375;4.000659942626953;2576.896728515625;14848.7197265625;2624.193359375;5353.97314453125;28017.521484375;77928.015625
30;2691.484619140625;22246.28515625;1.647330641746521;2625.28271484375;13910.341796875;2622.3408203125;5308.4970703125;28483.36328125;77889.3125
31;2682.759033203125;22171.537109375;0.7059987783432007;2560.111328125;13870.6455078125;2635.8017578125;5213.69580078125;28247.421875;77382.859375
32;2661.37939453125;21101.19921875;1.6473305225372314;2526.76708984375;13904.3623046875;2849.017578125;4731.99853515625;27998.578125;75774.6953125
33;2769.6494140625;21429.79296875;0.2353329360485077;2571.92529296875;14517.478515625;2620.800048828125;4998.181640625;28243.853515625;77151.8046875
34;2889.640380859375;21562.912109375;0.2353329360485077;2686.70361328125;14751.22265625;2564.841064453125;5032.14697265625;28348.46875;77835.875
35;2731.667724609375;21734.724609375;0.4706658720970154;2530.415771484375;14135.2724609375;2566.9365234375;4965.61181640625;27782.4609375;76447.25
36;2846.732666015625;20911.90234375;0.0;2749.210693359375;14692.2294921875;2715.043701171875;4908.0009765625;28710.69921875;77533.7265625
37;2743.15966796875;20927.611328125;0.0;2494.57177734375;14396.6796875;2656.895263671875;4840.54052734375;27809.009765625;75868.296875
38;2557.547607421875;20438.533203125;0.4706658720970154;2518.174560546875;15115.6416015625;2566.77783203125;4658.798828125;27723.451171875;75579.1640625
39;2647.0107421875;21484.84765625;0.7059987783432007;2498.7861328125;14945.650390625;2425.140625;5067.580078125;28242.46875;77312.2421875
40;2596.05712890625;21051.21484375;0.4706658720970154;2542.557373046875;14597.6044921875;2532.088134765625;5044.2802734375;28814.900390625;77178.7421875
41;2598.81494140625;21772.77734375;0.7059987783432007;2550.952880859375;14737.8447265625;2743.232666015625;5329.50634765625;29199.84765625;78933.75
42;2392.856689453125;21012.37890625;0.0;2516.217041015625;14377.021484375;2740.635498046875;5017.12109375;28391.056640625;76447.171875
43;2292.495361328125;20799.560546875;0.0;2708.82958984375;15271.416015625;2711.379638671875;5310.73388671875;28983.810546875;78078.125
44;2470.931396484375;21080.541015625;2.5886623859405518;2753.811767578125;14906.5439453125;2760.2412109375;5206.041015625;28352.884765625;77533.5546875
45;2529.122314453125;21936.4140625;0.0;2600.176513671875;15550.66796875;2654.70361328125;5371.71533203125;28677.7578125;79320.8125
46;2740.024658203125;21373.41015625;0.0;2618.829345703125;14899.658203125;2681.597900390625;5076.236328125;28106.59765625;77496.203125
47;2494.284912109375;21545.33984375;0.0;2623.757080078125;14776.927734375;2547.484619140625;5598.58154296875;28863.025390625;78449.453125
48;2348.67236328125;21444.828125;1.8826634883880615;2472.547607421875;15117.9775390625;2498.944580078125;5273.63134765625;28528.330078125;77686.671875
49;2408.183349609375;21920.76953125;0.0;2765.87255859375;14840.7958984375;2675.23095703125;5193.33203125;28470.861328125;78275.078125
50;2536.829833984375;21704.11328125;0.4706658720970154;2536.029541015625;15386.3056640625;2673.797607421875;5337.50244140625;28678.59765625;78853.671875
51;2779.354736328125;21644.751953125;0.2353329360485077;2819.648193359375;14782.5224609375;2782.165771484375;5292.4248046875;28374.072265625;78475.2578125
52;2450.6875;21651.08203125;0.0;2746.143310546875;14954.787109375;2798.37744140625;5123.2607421875;28611.2421875;78335.7109375
53;2389.04052734375;21903.4609375;0.0;2674.27392578125;14972.9541015625;2824.50439453125;5075.62353515625;28272.154296875;78111.8671875
54;2669.442138671875;21498.728515625;0.0;2658.95947265625;14144.34765625;3106.845703125;5238.208984375;28069.408203125;77385.8203125
55;2792.34375;21856.076171875;1.1766647100448608;2649.70556640625;14688.728515625;3000.38525390625;5430.7890625;28919.041015625;79338.2734375
56;2690.662353515625;21931.7734375;0.7059987783432007;2710.683349609375;14376.25390625;2913.320556640625;4904.693359375;28224.08984375;77752.1171875
57;2696.138916015625;21688.693359375;0.0;2734.65625;15109.162109375;3039.17138671875;5216.45849609375;29531.2890625;80015.7265625
58;2924.792724609375;21390.55078125;0.0;2867.28515625;14968.16015625;2981.642822265625;5309.96240234375;28350.603515625;78792.9296875
59;2751.512939453125;21859.025390625;0.4706658720970154;2782.539306640625;14915.4033203125;3006.38623046875;5214.33544921875;27938.697265625;78468.3046875
60;2673.62060546875;21819.880859375;1.411997675895691;2666.5048828125;13774.447265625;2813.27587890625;5152.2314453125;27770.2109375;76671.6875
61;2730.41943359375;21337.7578125;0.0;2936.33642578125;13767.5390625;2742.8037109375;5144.2470703125;29123.46484375;77782.5
62;2782.39501953125;21911.177734375;0.2353329360485077;2640.71875;13419.8056640625;2771.397705078125;5287.044921875;28007.93359375;76820.84375
63;2850.571044921875;21172.87109375;0.0;2774.959716796875;14053.59375;2679.4765625;5323.34521484375;28900.74609375;77755.2734375
64;2705.14697265625;22034.65234375;0.0;2649.740478515625;14378.12890625;2840.29052734375;5238.5205078125;28638.587890625;78485.09375
65;2601.60302734375;21853.3046875;0.7059987783432007;2405.808837890625;14058.2216796875;2561.19921875;5364.20751953125;28598.326171875;77443.296875
66;2661.50341796875;22280.42578125;1.1766645908355713;2719.812744140625;14090.6435546875;2831.744873046875;5535.5654296875;28496.728515625;78617.7890625
67;2405.1015625;21702.193359375;0.2353329360485077;2416.827392578125;13950.51171875;2733.1591796875;5419.021484375;28618.59375;77245.4921875
68;2538.63232421875;21352.890625;0.7059987783432007;2407.858642578125;14039.90234375;2664.93701171875;5154.82373046875;28588.736328125;76748.5
69;2552.34619140625;21120.162109375;0.2353329360485077;2338.0009765625;13926.78125;2834.787109375;5256.85107421875;29165.791015625;77194.578125
70;2624.711181640625;21237.93359375;0.9413317441940308;2412.491943359375;14252.30859375;2625.2109375;5616.8837890625;29531.388671875;78301.953125
