STEP;C11;NP;OCB;OCC;OCN;OCZ;ONC;ZIL;TOTAL
58;1544.05908203125;0.0;1515.718994140625;14775.8330078125;1789.2645263671875;5468.54296875;11502.244140625;32002.513671875;68597.8359375
59;1527.80322265625;3.294661045074463;1397.6773681640625;14830.0537109375;2033.5953369140625;5261.63427734375;10781.8310546875;32152.87109375;67988.1796875
60;1531.7742919921875;0.2353329360485077;1480.528564453125;14549.6337890625;1971.4189453125;5406.49658203125;11342.595703125;32191.369140625;68473.7890625
61;1750.47900390625;0.0;1546.913330078125;15178.3369140625;1889.3509521484375;5195.70849609375;11070.3515625;32284.166015625;68914.9140625
62;1499.678466796875;0.0;1474.6837158203125;14730.0712890625;2053.846435546875;5316.39404296875;11050.4150390625;32167.076171875;68292.1171875
63;1578.4449462890625;0.0;1621.278076171875;15249.1005859375;1987.7568359375;5675.70947265625;11078.2568359375;32021.060546875;69211.2890625
64;1493.69384765625;0.0;1382.2734375;14377.3134765625;1863.9501953125;5464.67578125;11050.5673828125;31611.8359375;67243.8359375
65;1438.989501953125;0.0;1433.162353515625;14291.7958984375;1744.2978515625;5607.0419921875;10874.458984375;31818.916015625;67208.1640625
66;1642.8931884765625;0.0;1537.251953125;14787.2138671875;1837.909912109375;5832.189453125;10566.201171875;31765.01953125;67968.0390625
67;1658.5704345703125;0.0;1619.599365234375;14603.2978515625;1798.95068359375;5622.7568359375;10647.939453125;31940.609375;67891.28125
68;1590.4964599609375;0.0;1370.088134765625;14436.8671875;1777.872802734375;5601.06494140625;10804.375;31647.49609375;67227.6796875
69;1498.386474609375;0.0;1463.0882568359375;14296.4677734375;1706.5118408203125;5528.5517578125;10917.8271484375;31289.74609375;66700.109375
70;1710.31689453125;0.0;1402.718017578125;14640.853515625;1713.95361328125;5585.58056640625;10785.3056640625;31532.609375;67370.7578125
71;1458.889404296875;0.0;1433.6634521484375;13840.7421875;1677.5189208984375;5447.365234375;10517.9853515625;31115.662109375;65491.2421875
72;1556.8134765625;0.0;1499.19921875;14727.7763671875;1793.3680419921875;5492.37744140625;10903.1015625;30902.462890625;66874.765625
73;1683.3018798828125;0.0;1485.854736328125;14730.76953125;1653.812255859375;5711.83203125;10564.697265625;29929.388671875;65759.1171875
74;1699.427001953125;0.0;1295.0390625;14734.93359375;1798.6351318359375;5532.9384765625;10470.1337890625;30383.78125;65914.296875
75;1711.854736328125;0.0;1479.4639892578125;15197.8271484375;1794.5892333984375;5418.20654296875;10438.03515625;30564.580078125;66603.8828125
76;1725.8909912109375;1.4119975566864014;1547.8824462890625;15127.8369140625;1677.14794921875;5266.31884765625;10776.5068359375;31151.12109375;67273.4765625
77;1617.8603515625;0.9413317441940308;1433.886474609375;15289.244140625;1751.9442138671875;5245.2724609375;10502.6962890625;30149.94921875;65991.2265625
78;1531.997802734375;0.7059987783432007;1506.720703125;14662.1494140625;1741.8193359375;5423.8359375;10582.2373046875;31024.734375;66473.6171875
79;1427.7686767578125;0.0;1244.3623046875;14654.0888671875;1802.8355712890625;5464.16162109375;10229.287109375;30130.05078125;64952.12109375
80;1416.4456787109375;0.4706658720970154;1381.2352294921875;14522.228515625;1582.6583251953125;5610.2705078125;10178.103515625;30172.2734375;64863.203125
81;1482.6473388671875;0.0;1440.270751953125;15172.9013671875;1621.4971923828125;5816.0283203125;10915.125;30460.869140625;66908.8984375
82;1409.550048828125;0.0;1352.755126953125;15009.419921875;1731.78125;5849.67431640625;10831.5673828125;30764.4140625;66948.6171875
83;1379.2640380859375;1.411997675895691;1408.052978515625;14826.814453125;1726.312255859375;5774.92431640625;10483.328125;30409.908203125;66009.5390625
84;1557.7386474609375;0.0;1392.353515625;15250.65234375;1667.89501953125;5734.4736328125;10897.173828125;30544.876953125;67044.6875
85;1379.0181884765625;0.0;1497.62109375;14932.5126953125;1665.359375;5679.11474609375;10945.9755859375;30683.2578125;66782.4609375
86;1606.7615966796875;0.4706658720970154;1492.396240234375;15311.484375;1911.7098388671875;5714.1396484375;10790.095703125;30291.349609375;67117.9140625
87;1551.20947265625;0.0;1387.6510009765625;14818.2890625;1726.99462890625;5615.93310546875;10855.599609375;30670.755859375;66625.8984375
88;1399.707763671875;0.0;1470.029296875;14890.5751953125;1835.8338623046875;5328.11767578125;11244.2880859375;30449.939453125;66617.875
89;1642.494140625;0.0;1580.239013671875;14513.5771484375;1617.5328369140625;5374.814453125;10355.09765625;30225.443359375;65308.6640625
90;1419.826416015625;0.0;1441.40966796875;14920.31640625;1524.509033203125;5728.1611328125;11066.7587890625;30452.423828125;66552.96875
