STEP;C11;NP;OCB;OCC;OCN;OCZ;ONC;ZIL;TOTAL
55;2196.353759765625;0.0;3109.46875;11750.857421875;2723.597412109375;4406.88818359375;18144.07421875;18612.7265625;60943.4453125
56;1733.550048828125;0.0;2965.567626953125;11166.537109375;3013.864501953125;4377.3076171875;18741.041015625;18641.251953125;60638.453125
57;1622.6871337890625;0.2353329360485077;2771.887939453125;11249.953125;2600.255859375;4189.9892578125;18175.455078125;19183.90625;59793.84765625
58;1861.7803955078125;0.0;2922.86279296875;11524.6767578125;2592.13671875;4384.76513671875;18181.732421875;18611.373046875;60078.93359375
59;2018.8048095703125;0.4706658720970154;2970.583251953125;11704.2802734375;2610.929443359375;4273.37255859375;18143.59375;18730.0703125;60451.625
60;1928.28759765625;0.0;2970.28759765625;11021.3525390625;2563.00830078125;4748.09130859375;18468.703125;18748.484375;60447.69140625
61;1990.9317626953125;0.0;2737.98193359375;11758.8740234375;2302.459716796875;4614.2451171875;18587.4921875;18993.23828125;60984.6328125
62;1815.1824951171875;0.0;2902.8330078125;12101.541015625;2571.383544921875;4161.61474609375;18688.541015625;18941.302734375;61181.9296875
63;1861.3927001953125;0.0;3046.679443359375;11642.7890625;2554.605224609375;4408.41845703125;19067.96484375;18868.86328125;61450.3828125
64;2113.53857421875;0.0;2708.6103515625;11686.33984375;2605.84228515625;4163.96044921875;18934.60546875;18466.34765625;60678.80078125
65;1829.258544921875;0.0;2912.290771484375;11939.5068359375;2792.311279296875;4275.02685546875;18417.490234375;18172.958984375;60338.3125
66;2273.347412109375;0.0;2783.1103515625;11085.4716796875;2614.98583984375;4268.1279296875;19488.404296875;18361.763671875;60874.71484375
67;2084.5556640625;0.0;2674.611572265625;11478.4228515625;2236.249755859375;4362.96826171875;18867.931640625;18327.806640625;60032.16796875
68;1988.056640625;0.0;2961.674560546875;11517.5078125;2841.31640625;4326.4814453125;18670.091796875;18750.693359375;61055.3515625
69;2066.421142578125;0.0;2854.0390625;11931.96484375;2790.64794921875;4462.5341796875;18821.494140625;18698.55078125;61624.9140625
70;1892.932861328125;0.0;2971.542236328125;11865.8935546875;2672.96337890625;4473.4697265625;18586.765625;18543.083984375;61006.15234375
71;1792.2579345703125;0.0;2819.5595703125;11405.1484375;2700.567138671875;4424.4189453125;18852.650390625;18532.392578125;60526.3203125
72;2085.816162109375;0.4706658720970154;2695.270263671875;11751.845703125;2755.301513671875;4470.0419921875;18428.53125;18715.84765625;60902.4375
73;2144.9697265625;0.0;2995.94921875;11844.9306640625;2733.85595703125;4591.982421875;18037.900390625;18446.509765625;60795.55859375
74;1965.4969482421875;0.0;2866.9599609375;11897.0546875;2429.91552734375;4529.8125;18339.611328125;18636.08984375;60664.40625
75;1927.8388671875;0.0;2697.746826171875;12086.6494140625;2668.350830078125;4531.435546875;18112.943359375;18153.072265625;60177.38671875
