STEP;C11;NP;OCB;OCC;OCN;OCQ;ONC;OQL;TOTAL
46;1706.1419677734375;0.0;2529.402587890625;21848.404296875;4805.427734375;3422.297119140625;26128.916015625;8132.14990234375;68572.296875
47;1526.438720703125;0.0;2318.557861328125;21502.28125;4975.2509765625;3160.123779296875;26643.921875;8488.1640625;68614.21875
48;1636.10107421875;0.0;2464.319580078125;21645.244140625;4812.76220703125;3172.3291015625;25452.099609375;8334.7021484375;67517.171875
49;1450.719482421875;0.0;2238.768798828125;20906.439453125;5109.69677734375;3140.861572265625;26536.986328125;7943.5615234375;67326.6015625
50;1589.791259765625;0.0;2275.68212890625;21762.462890625;4975.80419921875;3369.907958984375;25877.154296875;7965.8046875;67816.2109375
51;1563.467529296875;0.2353329360485077;2329.228515625;21102.958984375;4575.65869140625;3172.83154296875;25708.83984375;7776.41455078125;66229.203125
52;1434.337158203125;0.0;2449.382080078125;21187.96484375;4894.23388671875;3383.038330078125;25915.490234375;7980.18798828125;67244.1015625
53;1239.22998046875;0.0;2838.51318359375;21260.185546875;4830.09326171875;3312.22998046875;25765.724609375;7995.8955078125;67241.46875
54;1285.0609130859375;0.0;2371.816650390625;21329.955078125;5069.81689453125;3385.858642578125;26525.12109375;7197.279296875;67164.515625
55;1141.83056640625;0.0;2297.022216796875;21210.576171875;4480.2138671875;3323.220947265625;25352.98828125;7706.9921875;65512.35546875
56;1260.07568359375;0.4706658720970154;2345.8154296875;20741.619140625;4747.0478515625;3651.24169921875;25665.923828125;8116.2421875;66527.984375
57;1085.2525634765625;0.0;2204.009033203125;21750.017578125;4868.47265625;3357.543701171875;25737.05078125;7486.240234375;66488.234375
58;1204.1607666015625;0.0;2174.185791015625;21335.017578125;5226.10107421875;3325.76123046875;25636.728515625;7416.78369140625;66318.2265625
59;1339.2784423828125;0.0;2367.227294921875;20514.99609375;4546.27734375;3075.192138671875;25791.09375;7331.21435546875;64964.8671875
60;1358.893310546875;0.0;2376.4228515625;21006.966796875;5046.5810546875;3189.325927734375;25956.294921875;7906.529296875;66840.7578125
61;1313.7301025390625;0.0;2357.408203125;21545.2890625;4944.83203125;3049.688720703125;25600.646484375;7661.6787109375;66472.890625
62;1322.109375;0.0;2204.58740234375;21410.904296875;5225.94140625;3349.826416015625;25565.38671875;7160.84765625;66239.234375
63;1300.6995849609375;0.0;2316.22314453125;22205.00390625;5136.8427734375;2953.380859375;26212.84375;7362.5146484375;67487.0625
64;1136.43017578125;0.0;2261.779296875;21757.423828125;4817.42138671875;3312.174072265625;24844.6171875;7317.015625;65446.484375
65;1421.7779541015625;1.8826634883880615;2414.508544921875;21497.740234375;4940.62353515625;3126.46142578125;25306.07421875;7790.92578125;66499.5546875
66;1532.5128173828125;0.0;2406.31982421875;21915.5703125;4834.07958984375;3035.520263671875;26122.44140625;7507.80029296875;67353.75
67;1290.5751953125;0.0;2228.865234375;21634.427734375;4731.6376953125;3227.20703125;25815.39453125;7334.9931640625;66262.6796875
