STEP;C11;NP;OCB;OCC;OCE;OCN;ONC;ZOR;TOTAL
0;3531.33056640625;0.0;3775.153564453125;11769.283203125;3478.6923828125;3132.43408203125;19147.345703125;29397.8828125;74231.5546875
1;3564.863525390625;0.2353329360485077;3685.585205078125;11868.109375;3318.023193359375;3111.1943359375;18951.357421875;28888.40234375;73387.3984375
2;3625.297607421875;0.0;3631.55419921875;11795.28125;3220.61767578125;3055.508056640625;19575.59765625;28941.318359375;73844.953125
3;3569.615478515625;0.2353329360485077;4103.08056640625;11445.0859375;3311.043212890625;3236.39453125;19253.228515625;28568.400390625;73486.6171875
4;3704.98193359375;0.2353329360485077;3806.828125;10825.4111328125;3298.13671875;3251.5703125;20629.30859375;28765.02734375;74281.109375
5;3508.021484375;0.0;3531.7705078125;10942.9326171875;3221.666259765625;3431.751220703125;19205.6015625;28365.16015625;72206.578125
6;3548.409423828125;0.0;3892.0107421875;11791.3935546875;3178.571533203125;3335.3564453125;20070.98828125;28190.91796875;74007.3671875
7;3396.373046875;0.0;3511.759765625;11600.51171875;3234.640869140625;3009.240234375;19258.984375;28775.029296875;72786.4296875
8;3439.9951171875;0.0;4132.68798828125;10686.1025390625;3309.777099609375;3317.7265625;19780.390625;27597.119140625;72263.6015625
9;3452.683349609375;0.7059987783432007;3835.061279296875;11183.751953125;3154.165771484375;3084.015869140625;20099.302734375;27581.84765625;72391.1875
10;3280.29150390625;0.0;3713.503173828125;11187.5517578125;3155.229736328125;2935.3359375;20073.744140625;27836.408203125;72181.5
11;3274.1591796875;0.0;3884.564697265625;11045.4345703125;3378.7373046875;3117.075439453125;20297.685546875;27662.71875;72660.015625
12;3512.047607421875;0.0;3449.99169921875;10709.3798828125;3247.759521484375;2956.927001953125;19661.587890625;27853.5546875;71390.921875
13;3506.21875;0.0;3663.80078125;10535.8984375;3279.2548828125;3077.973876953125;19255.724609375;26781.45703125;70099.8984375
14;3347.242919921875;0.0;3677.870849609375;11212.59375;3152.4384765625;3213.1328125;19938.375;26505.44140625;71046.6953125
15;3480.01318359375;0.7059987783432007;3745.337646484375;10809.7861328125;3092.24658203125;3197.881103515625;19579.908203125;26402.541015625;70307.8671875
16;3294.61962890625;1.4119975566864014;3851.15234375;11334.4189453125;3191.847412109375;3172.1953125;19727.865234375;26138.873046875;70711.8359375
17;3115.759521484375;0.0;3756.940673828125;11161.03125;3300.2197265625;3316.017578125;20394.92578125;26467.12109375;71511.796875
18;2832.829833984375;0.0;3675.040771484375;10545.4677734375;3382.39599609375;3229.797607421875;20029.373046875;26372.068359375;70066.5390625
19;2992.44091796875;0.0;3552.606689453125;10974.4384765625;3416.7724609375;3119.645751953125;19799.033203125;26190.9453125;70045.453125
20;3160.21533203125;0.0;3431.654541015625;11222.4287109375;3204.932861328125;3070.572509765625;19584.576171875;26074.58203125;69748.5078125
21;3260.84326171875;0.0;3703.24658203125;11519.9287109375;3268.49853515625;2963.80029296875;19888.1328125;25867.541015625;70471.6796875
22;2885.548583984375;0.0;3533.9619140625;11405.1298828125;2964.35107421875;3058.981201171875;19888.224609375;25610.365234375;69345.953125
23;3120.310302734375;0.0;3674.822265625;11210.9873046875;3070.667724609375;3250.78369140625;20418.95703125;25494.875;70240.8046875
24;3400.69580078125;0.0;3727.56396484375;11366.2646484375;2940.337890625;3119.728515625;21043.259765625;25628.095703125;71225.796875
