STEP;C11;NP;OCB;OCC;OCN;OCP;ONC;PAN;TOTAL
48;2101.044189453125;0.4706658720970154;2263.36865234375;12484.140625;3235.91650390625;2447.1484375;20521.28515625;39516.765625;82570.53125
49;2274.6943359375;0.4706658720970154;2303.94970703125;11998.109375;3486.28857421875;2544.16650390625;20608.2421875;39056.44140625;82272.5703125
50;2170.7119140625;0.0;2447.107177734375;12203.638671875;3693.177490234375;2438.52978515625;20193.53125;38562.2734375;81708.8515625
51;2283.18212890625;0.0;2247.130126953125;12479.0419921875;3822.8203125;2589.464111328125;20993.162109375;39356.2265625;83771.2109375
52;2122.6826171875;0.0;2274.535888671875;12454.45703125;3924.671875;2294.757080078125;20116.408203125;39197.0390625;82384.6484375
53;2080.41552734375;0.0;2180.908935546875;12232.1435546875;3715.418701171875;2486.484130859375;20580.015625;38904.5546875;82179.796875
54;2117.169921875;0.0;2369.9609375;12850.0029296875;3609.365234375;2600.808837890625;20615.91015625;38484.31640625;82647.2265625
55;2169.59814453125;0.0;2387.873291015625;12951.078125;4011.4970703125;2578.071044921875;20958.5625;38692.06640625;83749.1328125
56;2203.3857421875;0.0;2245.887451171875;12526.8583984375;3720.92578125;2457.951171875;20054.919921875;39409.1640625;82619.328125
57;2249.56982421875;0.2353329360485077;2331.9580078125;12008.6708984375;3558.994873046875;2369.395263671875;20130.78125;39189.96484375;81839.5234375
58;1905.260986328125;0.0;2355.100830078125;12406.7421875;3606.608642578125;2455.0712890625;20891.251953125;39103.6484375;82724.0703125
59;2290.716552734375;0.0;2316.503662109375;12352.990234375;3750.8603515625;2051.6484375;20587.1328125;38806.9375;82156.7421875
60;2236.9345703125;0.0;2117.289306640625;11622.37109375;3418.698486328125;2380.82275390625;20631.3515625;39001.5703125;81409.171875
61;2099.50146484375;0.0;2102.04541015625;12399.4921875;3398.96337890625;2388.144287109375;19933.720703125;38965.54296875;81287.5859375
62;1969.4747314453125;0.0;2352.429931640625;11750.58203125;3555.10546875;2398.330810546875;20493.849609375;39208.1015625;81727.8671875
63;2152.586669921875;0.0;2315.6591796875;11817.91796875;3339.660400390625;2479.23681640625;19827.080078125;39129.953125;81062.390625
64;1948.275146484375;0.7059987783432007;2549.9267578125;11925.525390625;3302.30517578125;2615.918212890625;19389.30078125;38635.26171875;80367.3125
65;2295.057373046875;0.0;2247.8388671875;12357.7294921875;3413.96826171875;2578.5546875;19556.06640625;39072.265625;81521.8046875
66;2107.9306640625;0.0;2202.767578125;12234.3359375;3463.1796875;2578.52197265625;19926.564453125;39694.82421875;82208.4765625
67;2069.873046875;0.0;2342.401123046875;12231.63671875;3448.86328125;2222.788330078125;20054.6171875;38277.5234375;80647.8046875
68;2023.32470703125;0.0;2510.8974609375;12293.9853515625;3446.59765625;2454.8134765625;19930.001953125;38236.734375;80896.5703125
69;2179.581298828125;0.0;2534.008544921875;12614.4287109375;3590.53662109375;2612.1259765625;20594.12890625;38112.02734375;82236.9609375
70;2161.11767578125;0.0;2265.909912109375;12496.3662109375;3335.8076171875;2549.093505859375;19745.943359375;37919.734375;80474.0625
71;2056.606201171875;0.0;2308.4521484375;12796.2880859375;3282.635498046875;2606.39208984375;20633.912109375;38575.94140625;82260.3359375
72;2271.319091796875;0.0;2490.404541015625;12803.578125;3635.992919921875;2508.6171875;20397.671875;37249.52734375;81357.265625
73;2043.278564453125;0.0;2430.015869140625;13225.1181640625;3517.100830078125;2521.556884765625;20931.806640625;37220.8125;81889.78125
74;2133.38525390625;0.0;2391.017822265625;13114.001953125;3437.209228515625;2461.27294921875;19777.55859375;38192.17578125;81506.546875
75;2210.26025390625;0.0;2246.9111328125;12858.189453125;3447.710693359375;2484.3779296875;19518.060546875;37231.01953125;79996.7265625
76;2066.638671875;0.0;2213.751220703125;12719.9228515625;3504.491455078125;2423.08837890625;19922.6484375;38134.484375;80985.125
77;2340.929443359375;0.7059987783432007;2387.7626953125;13459.5400390625;3927.7314453125;2453.98486328125;20410.21875;37657.3359375;82638.5703125
78;2198.862060546875;0.0;2551.291015625;12998.298828125;3636.6103515625;2462.3916015625;19816.458984375;37948.515625;81612.5390625
79;2276.6025390625;0.0;2247.098876953125;13050.14453125;3709.724609375;2516.63671875;20497.12890625;37314.97265625;81612.4609375
80;2015.9420166015625;0.0;2094.732177734375;13424.4150390625;3679.732421875;2534.9892578125;20375.6796875;38327.29296875;82453.078125
81;2116.646240234375;0.0;2057.113037109375;12732.0458984375;3484.126708984375;2521.565185546875;19785.87109375;38333.40234375;81031.0234375
82;2006.6434326171875;0.0;2170.027099609375;12802.375;3820.359130859375;2548.38330078125;19870.072265625;37653.84765625;80871.9296875
83;2062.394775390625;0.0;2107.71630859375;12421.8125;3290.85205078125;2474.745849609375;19290.470703125;38067.98046875;79715.9375
84;1810.4158935546875;0.4706658720970154;2019.4957275390625;12285.23828125;3631.410888671875;2383.1435546875;20246.560546875;37950.11328125;80326.7890625
85;1836.5601806640625;0.0;1979.431884765625;11771.306640625;3770.32275390625;2124.49560546875;19319.15234375;37342.25;78143.7109375
86;1884.611328125;0.0;1924.167236328125;11855.6171875;3653.763671875;2127.128662109375;19099.95703125;37421.22265625;77966.4453125
87;2033.88818359375;0.2353329360485077;2288.74072265625;12043.291015625;3620.5361328125;2084.886962890625;19805.603515625;37672.2109375;79549.3515625
88;1868.5877685546875;0.0;2101.37744140625;12650.0029296875;3967.347412109375;2288.371826171875;19843.41796875;37646.5859375;80365.6953125
89;1842.58447265625;0.9413317441940308;2180.214111328125;12196.7998046875;3484.129638671875;2292.014892578125;20180.263671875;37257.72265625;79434.796875
90;1724.0489501953125;0.0;1949.3690185546875;12030.19921875;3362.702880859375;2464.81005859375;19558.3515625;37531.859375;78621.15625
91;1635.1531982421875;0.0;1976.2088623046875;12231.2666015625;3350.496826171875;2633.551513671875;20136.470703125;38508.6953125;80471.84375
92;1895.58056640625;0.0;2177.170654296875;12015.525390625;3372.70556640625;2179.109130859375;20504.861328125;38130.6640625;80275.640625
93;1901.9273681640625;0.0;2023.6434326171875;12281.2099609375;3461.201904296875;2438.108154296875;20348.09375;38348.6484375;80802.96875
94;1881.96337890625;0.0;1931.8802490234375;11944.279296875;3574.466064453125;2422.52978515625;20560.45703125;37420.203125;79735.8984375
95;1841.6517333984375;0.0;1763.4371337890625;12041.4296875;3440.150390625;2427.0458984375;20227.125;36749.8671875;78490.5078125
96;1765.57763671875;0.0;1816.5177001953125;12028.427734375;3398.659912109375;2367.439453125;19802.650390625;36918.234375;78097.6640625
97;1893.7353515625;0.0;1789.6600341796875;12130.7734375;3436.46435546875;2608.5087890625;20430.12109375;37351.3203125;79640.6328125
98;1706.582275390625;0.0;1906.97314453125;11511.0126953125;3532.264404296875;2330.450439453125;20725.56640625;37724.765625;79437.75
99;1886.607421875;0.0;2156.11474609375;11890.4970703125;3576.31005859375;2473.2236328125;20042.837890625;37432.19140625;79458.015625
100;1707.5811767578125;0.0;2111.608642578125;11554.6240234375;3584.4033203125;2474.634765625;20299.2421875;36602.78125;78334.7734375
101;1688.83154296875;0.0;1930.9237060546875;12102.560546875;3784.89111328125;2201.032958984375;20790.66015625;37157.0078125;79655.5546875
102;1608.328857421875;0.0;1829.94384765625;11243.7958984375;3666.6806640625;2240.955322265625;20388.822265625;36864.90234375;77843.25
103;1762.6336669921875;0.4706658720970154;1955.2401123046875;11805.8876953125;3645.90771484375;2365.334228515625;20352.208984375;38074.7421875;79962.65625
104;1735.732177734375;0.0;1834.4375;11731.2041015625;3671.924072265625;2303.943359375;19707.49609375;37514.54296875;78499.625
105;1645.9609375;0.0;1874.33251953125;12031.908203125;3626.52490234375;2542.09130859375;20468.61328125;37405.0078125;79594.6015625
106;1857.7625732421875;0.0;2041.7884521484375;11856.896484375;3466.873779296875;2578.53564453125;20770.91796875;37370.2265625;79943.1484375
107;1675.58447265625;0.2353329360485077;2003.8817138671875;11576.3515625;3893.12109375;2636.900390625;20225.404296875;36653.609375;78665.046875
108;1743.261962890625;0.0;1872.858642578125;11836.439453125;3556.75634765625;2395.2255859375;20362.54296875;37305.30859375;79072.3203125
109;1883.09228515625;0.0;1832.0421142578125;12052.6201171875;3781.860595703125;2439.1552734375;20700.990234375;38008.30859375;80698.4453125
110;1509.61767578125;0.2353329360485077;1860.7684326171875;11230.0048828125;3737.861572265625;2469.22314453125;20492.57421875;37132.79296875;78433.2421875
