STEP;C11;CY5;Cl;NP;OCB;OCC;OCY;ONL;UNL;TOTAL
0;3657.648193359375;139993.3125;0.0;0.0;2711.345458984375;22080.060546875;6802.46484375;1187.5250244140625;2066.077392578125;230215.578125
1;3508.03857421875;138674.078125;0.0;0.7059987783432007;3129.375244140625;22503.490234375;6818.08251953125;1421.40478515625;1966.08642578125;230991.03125
2;3504.610107421875;138978.703125;0.0;0.2353329360485077;2789.052978515625;21557.189453125;6559.9716796875;1219.9107666015625;2003.9752197265625;229254.3125
3;3384.421630859375;140496.359375;0.0;0.0;2989.5576171875;20929.40625;6673.03955078125;1170.999267578125;2040.38671875;229977.96875
4;3367.111328125;140680.03125;0.0;0.0;2764.2197265625;21260.798828125;6774.27783203125;1113.6834716796875;1771.65087890625;230050.453125
5;3292.19970703125;138254.796875;0.0;0.2353329360485077;2547.4140625;20557.291015625;6434.20947265625;1103.513916015625;1730.06884765625;226822.28125
6;3466.737548828125;136329.796875;0.0;0.0;2874.831298828125;20057.947265625;6134.1376953125;950.610595703125;1631.0609130859375;223690.015625
7;3298.954833984375;135671.34375;0.0;0.4706658720970154;2746.96044921875;19966.001953125;6401.724609375;864.4837036132813;1793.33203125;223182.953125
8;3517.58837890625;135201.34375;0.0;1.4119975566864014;2602.7470703125;19719.19140625;6341.03857421875;833.0302124023438;1535.2984619140625;222088.828125
9;3020.630615234375;135270.109375;0.0;0.9413317441940308;2486.960693359375;20332.78515625;6312.0576171875;1018.6915893554688;1711.0491943359375;222307.828125
10;3003.43359375;133403.765625;0.0;1.4119975566864014;2608.3388671875;20175.013671875;6198.6708984375;953.144775390625;1649.6868896484375;220268.328125
11;2658.948974609375;133953.640625;0.0;0.9413317441940308;2385.679931640625;20480.373046875;6036.22998046875;1011.7359008789063;1398.927734375;220390.890625
12;2755.6884765625;133277.125;0.0;0.0;2431.135986328125;20070.376953125;5846.68603515625;888.8056640625;1550.6060791015625;218952.078125
13;2763.42236328125;133891.828125;0.0;0.4706658720970154;2462.850341796875;20272.09765625;5665.3447265625;1013.2566528320313;1825.457275390625;220077.3125
14;2563.97412109375;132859.5;0.0;2.3533294200897217;2491.678955078125;20075.1953125;5703.81884765625;1038.5218505859375;2026.6339111328125;219357.390625
15;2856.41650390625;131962.6875;0.0;0.0;2511.848388671875;19697.48828125;5590.9755859375;961.2412719726563;1935.51611328125;217793.578125
16;3163.889892578125;131549.296875;0.0;0.0;2595.886474609375;20330.35546875;5732.89111328125;950.6226806640625;1972.5478515625;218029.046875
17;2960.276123046875;131200.6875;0.0;1.1766647100448608;2519.510986328125;20746.28125;5853.5615234375;1126.5809326171875;1713.357421875;218654.40625
18;2980.960693359375;131311.28125;0.0;1.1766647100448608;2481.662353515625;20535.755859375;5653.9404296875;1043.0543212890625;1897.0885009765625;218243.453125
19;3046.170166015625;130636.9296875;0.0;0.2353329360485077;2500.189453125;19925.119140625;5759.33544921875;1080.5382080078125;1711.1134033203125;217035.765625
20;2531.465576171875;130506.8828125;0.0;0.0;2559.35205078125;19958.697265625;5608.40185546875;1118.675048828125;1643.402587890625;216213.59375
21;2596.72265625;130481.0078125;0.0;0.4706658720970154;2450.59814453125;19885.2265625;5480.05712890625;1139.382568359375;1727.567138671875;215541.90625
22;2564.450927734375;129359.5;0.0;2.3533291816711426;2270.726318359375;20091.21484375;5821.81591796875;964.1577758789063;1663.9307861328125;215222.5
23;2509.125;130329.359375;0.0;0.0;2369.157470703125;19542.466796875;5802.96875;816.2244873046875;1749.67529296875;215834.796875
24;2642.462158203125;128975.3203125;0.0;0.2353329360485077;2299.661376953125;19469.21875;5495.2763671875;869.3123779296875;1565.2200927734375;212963.28125
25;2598.540771484375;128522.078125;0.0;0.0;2199.219482421875;18493.18359375;5470.5869140625;907.9750366210938;1724.6292724609375;211608.828125
26;2594.8056640625;130172.9921875;0.0;0.7059987783432007;2164.673583984375;18525.8359375;5509.61767578125;844.0630493164063;1611.900146484375;214050.109375
27;2495.8427734375;129006.3671875;0.0;1.6473305225372314;2309.488037109375;19207.62890625;5379.2548828125;953.9441528320313;1637.2596435546875;213296.140625
28;2653.6845703125;130588.125;0.0;2.5886621475219727;2176.759765625;19554.244140625;5351.3720703125;852.1025390625;1415.6279296875;215213.890625
