STEP;C11;NP;OCB;OCC;OCN;OCP;ONC;PAN;TOTAL
65;2308.26220703125;1.4119975566864014;2015.4600830078125;13145.099609375;1949.1636962890625;3703.861083984375;10997.330078125;54176.3984375;88297.78125
66;2392.050048828125;0.9413317441940308;2010.746826171875;13133.5869140625;2033.8060302734375;3318.315673828125;11033.0595703125;53548.7734375;87471.90625
67;2216.32861328125;0.0;2090.384521484375;13745.228515625;2071.845947265625;3340.396484375;10600.2099609375;53968.1640625;88033.2890625
68;2227.576904296875;2.3533294200897217;2183.341552734375;14387.158203125;2175.496826171875;3517.61328125;11243.734375;54104.16796875;89842.546875
69;2129.50439453125;0.0;2157.1220703125;14061.6708984375;1985.5399169921875;3606.576904296875;11619.802734375;52937.09375;88497.8828125
70;2368.531982421875;0.0;2113.2060546875;13647.9736328125;2061.206787109375;3653.1279296875;11646.7548828125;53854.765625;89346.328125
71;2177.179443359375;0.2353329360485077;2183.63525390625;13399.078125;2041.77880859375;3819.71728515625;11503.96875;53273.32421875;88399.71875
72;2296.720947265625;1.6473305225372314;1989.614013671875;13746.6435546875;1894.063720703125;3642.573486328125;11651.81640625;53663.81640625;88887.5546875
73;2301.725341796875;0.2353329360485077;2025.451171875;13447.705078125;2225.782470703125;3472.946533203125;11324.9931640625;52958.0390625;87757.9296875
74;2326.276611328125;0.2353329360485077;2058.3935546875;13258.103515625;2106.836669921875;3712.01953125;11547.2666015625;53680.546875;88690.3046875
75;2142.3857421875;0.4706658720970154;2063.30078125;13283.6318359375;1937.31298828125;3381.790283203125;11955.5966796875;54406.4375;89171.4140625
76;2246.31591796875;0.2353329360485077;2156.458740234375;12483.9833984375;1817.2730712890625;3408.20947265625;11174.7080078125;53796.01171875;87083.78125
77;1988.372802734375;0.4706658720970154;2086.78369140625;12782.5205078125;1683.0203857421875;3319.623291015625;11710.9287109375;53509.578125;87082.078125
78;1822.7391357421875;0.9413317441940308;1930.2525634765625;12797.50390625;1894.5654296875;3672.515869140625;11122.619140625;53799.60546875;87041.2109375
79;1908.2017822265625;0.0;1937.429443359375;12238.1845703125;1859.2291259765625;3583.173828125;10668.2119140625;53110.81640625;85305.625
80;2044.4263916015625;0.4706658720970154;2009.9095458984375;13020.71484375;1950.1953125;3553.337890625;11182.8154296875;53140.3828125;86902.9140625
81;1949.0966796875;0.7059987783432007;1839.7757568359375;12722.384765625;1769.1077880859375;3556.9306640625;11187.3701171875;53283.7265625;86309.6953125
82;2121.033447265625;0.0;1867.1845703125;12860.4658203125;1906.7440185546875;3568.7568359375;11583.6484375;53101.5078125;87009.921875
83;1919.5872802734375;0.4706658720970154;1833.399658203125;13274.4853515625;1988.529541015625;3559.455810546875;11147.353515625;52666.078125;86389.7265625
84;2070.555419921875;0.0;1915.045166015625;12411.2119140625;1952.43408203125;3447.51513671875;11183.943359375;52347.515625;85328.859375
85;2007.8826904296875;0.2353329360485077;1791.17626953125;12686.7509765625;1802.55224609375;3688.931396484375;11523.8564453125;53023.92578125;86525.9375
86;2232.912353515625;2.3533294200897217;1985.019775390625;13369.1357421875;1940.370849609375;3521.2421875;11787.173828125;52519.375;87358.3125
87;2082.052001953125;0.0;1808.2003173828125;13161.607421875;1878.7769775390625;3331.220703125;11527.7578125;53211.4375;87001.7265625
88;2003.1944580078125;0.0;2047.2103271484375;13189.966796875;1833.5848388671875;3596.03857421875;11509.3486328125;52961.4765625;87141.046875
89;2258.923583984375;0.0;1917.6807861328125;13142.6171875;1893.7684326171875;3711.326416015625;11534.3828125;52415.171875;86874.6640625
90;2110.8271484375;0.0;1956.8087158203125;12735.09765625;2084.987060546875;3729.189697265625;11584.1015625;52343.1328125;86544.953125
91;1984.928466796875;0.0;1935.31591796875;13012.3203125;1780.5201416015625;3982.078857421875;12019.337890625;51742.4140625;86457.703125
92;2114.359619140625;0.4706658720970154;1815.6739501953125;13138.087890625;1926.8621826171875;3974.773681640625;11841.7177734375;51760.15234375;86572.6875
93;1975.9906005859375;0.0;2130.91162109375;13596.076171875;1874.169677734375;3763.49560546875;11031.6796875;52136.984375;86509.8671875
94;1844.880126953125;0.2353329360485077;2068.475830078125;13619.455078125;1762.5279541015625;3781.76171875;11533.27734375;51765.23828125;86376.21875
95;1916.4327392578125;0.2353329360485077;1891.9100341796875;13243.8369140625;1681.3837890625;3873.590576171875;11395.1591796875;51956.13671875;85959.4375
96;1887.2464599609375;0.0;1928.2001953125;13054.4775390625;1724.123779296875;3841.120849609375;11271.2177734375;52128.3046875;85835.140625
97;2069.8095703125;0.0;2012.848388671875;12878.99609375;2029.9315185546875;3814.54833984375;11494.265625;52265.79296875;86566.828125
98;2176.677734375;0.2353329360485077;1955.602783203125;12488.8232421875;1840.3065185546875;3812.279052734375;11316.37109375;52842.5390625;86433.5
99;1999.90869140625;0.0;2058.315673828125;13008.2216796875;1651.3653564453125;3738.264892578125;11606.5224609375;51713.3984375;85776.6484375
100;1932.126220703125;0.0;2000.837890625;13350.7880859375;1538.7330322265625;3828.483642578125;11273.28515625;51179.7734375;85104.4765625
101;2001.0948486328125;1.8826634883880615;2001.0418701171875;13058.169921875;1680.7967529296875;3837.15576171875;11938.67578125;52195.87890625;86715.4296875
102;1914.7900390625;0.0;1930.952880859375;12925.2421875;1852.253173828125;3609.616943359375;11875.56640625;51948.140625;86057.1953125
103;1914.305419921875;0.0;2058.614013671875;12807.16796875;1739.8284912109375;3786.149169921875;11807.916015625;51676.8984375;85791.3046875
104;1783.7696533203125;0.0;1946.5985107421875;12622.6767578125;1674.4075927734375;3666.653564453125;10747.2880859375;51383.125;83825.1328125
105;1897.5372314453125;0.0;1929.1864013671875;12683.818359375;1545.8804931640625;3634.413330078125;11192.8232421875;52194.97265625;85079.1484375
106;1956.852783203125;0.0;1856.7882080078125;12429.474609375;1800.476806640625;3707.622802734375;11209.03125;51345.57421875;84306.0546875
107;1875.2811279296875;0.0;1993.5679931640625;11911.1064453125;1565.3775634765625;3816.9267578125;11089.935546875;51283.87109375;83536.6796875
108;2057.741455078125;0.2353329360485077;1944.3743896484375;12750.7421875;1519.3818359375;3775.65576171875;12003.796875;51030.76171875;85082.9921875
109;2057.83447265625;0.0;2021.429443359375;12529.150390625;1653.21337890625;3661.716552734375;11401.3916015625;50665.3984375;83990.5859375
110;2048.896484375;0.0;1957.6036376953125;12723.0048828125;1609.4735107421875;3657.24462890625;11293.2333984375;51467.61328125;84757.5390625
111;1957.0625;0.7059987783432007;1834.927978515625;12499.1806640625;1773.9473876953125;3809.07958984375;11497.8154296875;51343.04296875;84716.2578125
112;1943.44970703125;0.0;1896.6671142578125;13034.5244140625;2103.986083984375;4017.799560546875;11938.587890625;50836.015625;85771.546875
113;2189.55224609375;0.0;1834.2470703125;12942.8173828125;2064.706298828125;3726.8564453125;11727.0302734375;52179.91796875;86665.7421875
114;2048.39111328125;0.4706658720970154;1765.7000732421875;13117.447265625;1684.424560546875;3799.5478515625;11071.515625;51367.19921875;84855.171875
115;2088.70361328125;0.7059987783432007;1737.0931396484375;12998.9169921875;1824.7672119140625;4090.337158203125;11611.5244140625;50962.90234375;85315.3515625
116;1830.6773681640625;0.0;1800.7052001953125;12517.1318359375;1920.2283935546875;3944.724609375;11285.755859375;50710.01171875;84009.859375
117;2014.6929931640625;0.2353329360485077;1708.449951171875;12725.197265625;1667.0882568359375;3964.637939453125;11615.8955078125;50465.35546875;84162.0390625
118;2102.938232421875;0.0;1850.570068359375;12754.978515625;1768.701416015625;4115.5419921875;11438.2529296875;50232.19140625;84263.5078125
119;2197.1044921875;0.4706658720970154;2004.489013671875;13113.7412109375;1737.190673828125;3752.979736328125;11947.298828125;50275.140625;85028.9375
120;2076.864990234375;0.2353329360485077;1883.85498046875;13007.568359375;1723.245361328125;3828.885009765625;11822.3935546875;50391.46875;84735.0859375
121;2024.1298828125;0.2353329360485077;1733.3521728515625;12504.9677734375;1817.0159912109375;4090.59423828125;11821.5390625;51097.09375;85089.71875
122;1969.748779296875;1.4119975566864014;1736.037353515625;12085.314453125;1837.587158203125;3636.440673828125;11676.1357421875;50763.828125;83707.0078125
123;1947.6435546875;0.0;1600.5479736328125;12146.724609375;1856.7208251953125;3792.695068359375;11235.09375;50923.5234375;83503.40625
124;1847.136962890625;0.0;1809.3294677734375;12396.6279296875;1676.642578125;3730.428466796875;11411.7060546875;50604.34765625;83476.46875
125;1882.0643310546875;0.0;1796.130615234375;12129.416015625;1742.392333984375;3441.322265625;11569.5078125;50508.73046875;83069.828125
126;1773.855712890625;0.0;1738.4613037109375;12447.787109375;1718.8851318359375;3762.19970703125;11729.0390625;49984.52734375;83155.109375
127;1838.6322021484375;0.2353329360485077;1661.5704345703125;12562.146484375;2040.2489013671875;3877.312744140625;11372.0517578125;49642.25;82994.4921875
128;1601.8270263671875;0.0;1666.7000732421875;12210.4765625;1804.150634765625;3640.3037109375;11235.6474609375;50715.63671875;82875.4453125
129;1806.21435546875;0.0;1653.152587890625;12433.2431640625;1803.980712890625;3769.995361328125;11675.888671875;50337.671875;83480.6796875
130;1729.265869140625;0.0;1904.787841796875;12077.5283203125;1755.7734375;3610.01513671875;12118.5078125;50317.08203125;83513.4765625
