STEP;C11;NHQ;NP;OCB;OCC;OCH;OCN;ONC;TOTAL
0;2393.0478515625;29319.021484375;0.9413317441940308;2572.047607421875;20862.2265625;6660.7841796875;1796.8983154296875;10286.91796875;73891.53125
1;2837.753173828125;29273.763671875;0.2353329360485077;2499.88134765625;21133.3671875;6587.1416015625;1810.8502197265625;11239.9736328125;75382.828125
2;2779.057373046875;29523.095703125;0.0;2392.3974609375;19830.490234375;6778.25439453125;1716.061279296875;10815.599609375;73834.921875
3;2270.927734375;28909.96484375;0.4706658720970154;2420.939453125;20380.62890625;6732.94091796875;1760.34814453125;11356.333984375;73832.2421875
4;2275.314453125;28744.841796875;0.0;2506.969970703125;20503.650390625;6600.54296875;1789.319580078125;10896.8125;73317.34375
5;2568.5322265625;29681.787109375;0.4706658720970154;2910.393310546875;20136.857421875;6751.52294921875;1902.7767333984375;10917.462890625;74869.4609375
6;2523.566162109375;27948.4296875;0.4706658720970154;2808.859375;20130.525390625;6507.142578125;1811.14697265625;11118.0732421875;72848.1875
7;2150.345703125;28644.056640625;0.4706658720970154;2677.177734375;19395.650390625;6626.34765625;1843.6278076171875;11535.01171875;72872.1328125
8;2116.358642578125;28926.265625;0.0;2500.4990234375;19039.685546875;6368.107421875;1813.011474609375;11133.849609375;71897.4140625
9;2223.041748046875;27760.40625;0.0;2563.1142578125;18840.669921875;6404.0498046875;1703.306640625;11755.2734375;71249.5859375
10;1736.9083251953125;27515.109375;0.0;2525.249755859375;19381.796875;6855.76708984375;1832.0810546875;11723.06640625;71569.765625
11;1850.9432373046875;27307.84375;0.0;2469.340087890625;19028.064453125;6842.2353515625;1984.0003662109375;11468.640625;70950.5390625
12;1762.075439453125;27313.509765625;1.1766647100448608;2418.5107421875;19711.28515625;6467.8623046875;2120.131103515625;11319.1796875;71113.546875
13;1958.8350830078125;27028.146484375;0.2353329360485077;2590.933349609375;19098.931640625;6602.294921875;1969.4779052734375;11044.61328125;70293.1796875
14;1903.19140625;27181.37109375;0.2353329360485077;2416.574951171875;19493.28125;6066.1806640625;1917.5286865234375;11638.23046875;70616.3203125
15;1674.7587890625;27088.5625;0.0;2273.696533203125;19336.478515625;6482.37353515625;1833.1903076171875;11038.6171875;69727.2734375
16;1680.223388671875;26889.193359375;0.0;2390.919921875;19188.787109375;6302.18701171875;1888.6427001953125;11387.994140625;69727.515625
17;1784.0408935546875;26967.498046875;2.5886621475219727;2398.75537109375;19239.76953125;6392.61962890625;1859.3031005859375;10971.1611328125;69615.7734375
18;1680.7200927734375;27200.37109375;0.0;2351.505859375;18962.822265625;6121.9013671875;1794.3096923828125;11323.4658203125;69434.8828125
19;1835.225830078125;26927.083984375;0.7059987783432007;2480.47021484375;18786.18359375;6502.2880859375;1821.3663330078125;10603.8876953125;68956.8046875
20;1660.62451171875;26945.396484375;0.0;2482.95068359375;19079.623046875;6657.3369140625;1919.302490234375;10689.537109375;69434.4921875
21;1908.5489501953125;25429.830078125;0.2353329360485077;2368.60888671875;19562.361328125;6788.73779296875;1997.0108642578125;11255.953125;69311.015625
22;1793.231201171875;25835.171875;0.0;2342.6396484375;19307.3671875;6667.57763671875;1935.4415283203125;10817.7392578125;68698.7890625
23;1649.0869140625;25767.037109375;0.0;2145.259033203125;19700.0703125;6528.2197265625;1475.4766845703125;10355.4384765625;67620.21875
24;1706.6142578125;25836.43359375;0.0;2285.796142578125;19416.78125;6420.52099609375;1908.629150390625;11040.1806640625;68614.53125
25;1881.16845703125;25114.26953125;0.0;2237.81396484375;19630.724609375;6750.02685546875;2174.5166015625;10974.193359375;68762.3671875
26;1814.3515625;24527.9609375;0.0;2251.382568359375;19800.97265625;6727.64453125;2229.619140625;10922.759765625;68274.4375
27;1600.94287109375;25503.84765625;0.0;2152.891357421875;19591.919921875;6156.26171875;2082.9658203125;10453.044921875;67541.4609375
28;1507.255615234375;24927.33203125;0.0;2102.752197265625;18985.12109375;6435.23193359375;2176.69873046875;10668.4267578125;66802.375
29;1643.5023193359375;24857.341796875;0.0;2242.8193359375;19623.98046875;6581.0029296875;1947.277099609375;11410.78515625;68306.3515625
30;1782.855224609375;25231.693359375;0.0;2212.08056640625;18534.08984375;6555.87548828125;2188.409423828125;11192.9541015625;67697.7578125
31;1617.2869873046875;25057.443359375;0.0;2295.3623046875;19020.916015625;6280.54150390625;2004.041259765625;10996.4658203125;67271.484375
32;1534.6644287109375;24946.13671875;0.0;2562.78076171875;19229.400390625;6334.02490234375;2154.593017578125;10921.7724609375;67682.8125
33;1503.416748046875;24703.384765625;0.0;2179.535400390625;19299.46875;6708.80810546875;2039.279541015625;11212.15625;67645.484375
34;1331.97705078125;25251.529296875;0.0;1982.24658203125;18770.337890625;6405.80029296875;2005.9647216796875;10444.9296875;66192.34375
35;1364.36669921875;24801.6015625;0.0;2033.402587890625;19432.322265625;6908.1044921875;2091.834716796875;10808.47265625;67439.59375
36;1388.0035400390625;24571.666015625;0.0;2195.869873046875;19012.669921875;6872.10302734375;1904.6768798828125;10866.369140625;66811.0546875
37;1292.096435546875;24011.857421875;0.7059987783432007;2220.329345703125;18897.9609375;6653.95703125;1709.4385986328125;10755.33203125;65541.1171875
38;1435.9349365234375;24639.861328125;0.0;2354.029296875;19152.966796875;6521.40380859375;1740.7957763671875;11299.0654296875;67143.5078125
39;1432.17529296875;24412.884765625;0.2353329360485077;2347.853515625;19334.947265625;6570.4228515625;1962.9512939453125;11192.0048828125;67253.0703125
40;1293.612548828125;23976.423828125;0.0;2042.142822265625;19208.08984375;6486.24365234375;1973.4844970703125;11092.19140625;66071.71875
41;1300.2161865234375;23707.771484375;0.0;2326.321533203125;18669.33203125;6667.96875;1957.6319580078125;11496.193359375;66124.8359375
42;1257.0504150390625;24124.048828125;0.4706658720970154;2250.892578125;18973.71484375;6385.5947265625;2014.4085693359375;10713.4765625;65719.0390625
43;1301.139404296875;24223.388671875;0.0;2293.17529296875;18788.50390625;6375.7138671875;2146.46484375;11450.0234375;66577.953125
44;1176.0782470703125;23578.181640625;0.0;2118.576904296875;18718.46875;6701.55810546875;1880.80517578125;10942.2783203125;65115.48046875
45;1327.88818359375;23979.833984375;0.0;2228.03076171875;18775.421875;6477.0322265625;1978.1595458984375;10573.0048828125;65338.80859375
46;1156.1341552734375;24002.06640625;0.0;2125.20166015625;18749.5625;6485.36962890625;1990.6744384765625;10899.7060546875;65408.29296875
47;1222.490478515625;24034.037109375;0.0;2028.664794921875;18350.595703125;6503.38818359375;1934.0504150390625;11558.423828125;65630.984375
48;1225.423828125;24241.62109375;0.0;1865.81591796875;17932.796875;6306.48291015625;1864.16748046875;10922.134765625;64357.89453125
49;1024.1488037109375;23649.744140625;0.0;2027.160400390625;18161.255859375;6836.19677734375;1646.7333984375;11068.6455078125;64413.46484375
