STEP;C11;NP;OCB;OCC;OCN;OCW;ONC;WYC;TOTAL
0;2112.28125;0.0;2067.41845703125;22298.533203125;4739.251953125;3482.189208984375;24110.875;32354.9765625;91166.0703125
1;2119.11279296875;2.3533294200897217;2180.2373046875;22899.59765625;4858.0615234375;3019.39306640625;24308.048828125;31559.880859375;90946.625
2;2195.041259765625;0.0;2156.823974609375;21727.908203125;4446.267578125;3259.78125;24847.197265625;31923.421875;90556.9375
3;2138.826904296875;1.1766647100448608;2041.1370849609375;21758.169921875;4579.2607421875;3122.08740234375;24367.576171875;32251.998046875;90260.6328125
4;2219.943603515625;0.0;2110.156005859375;21789.873046875;5043.626953125;2976.25830078125;25755.625;31731.9453125;91628.1484375
5;2191.881103515625;0.0;2247.3369140625;20971.453125;4989.20849609375;2892.994384765625;24463.140625;31912.71484375;89668.921875
6;2624.928466796875;1.8826634883880615;2313.65087890625;21939.54296875;5314.0703125;3069.850341796875;26096.478515625;31211.93359375;92572.3828125
7;2354.799072265625;0.4706658720970154;2021.9591064453125;21687.7421875;5095.919921875;3433.81201171875;24889.408203125;30925.814453125;90410.0859375
8;2184.068603515625;2.1179964542388916;1960.7596435546875;22515.5703125;4913.95458984375;3103.256591796875;24064.51953125;31046.0390625;89790.640625
9;2091.710693359375;0.0;1980.21875;22181.67578125;4855.97412109375;3013.039794921875;24410.529296875;31230.689453125;89764.25
10;2113.97216796875;0.9413317441940308;2161.04736328125;22468.6796875;5080.24365234375;2877.2958984375;24677.572265625;31041.58203125;90421.65625
11;2107.757568359375;0.0;1985.5941162109375;21414.0859375;5167.86181640625;3055.205322265625;23521.296875;31271.96875;88523.78125
12;1984.3463134765625;0.7059987783432007;1998.5101318359375;21191.134765625;4834.587890625;3143.722900390625;24525.537109375;30929.88671875;88608.4921875
13;2127.92919921875;0.7059987783432007;1968.3441162109375;21949.70703125;4846.00146484375;3095.156005859375;24767.65234375;31057.19140625;89812.8203125
14;2177.707763671875;0.0;2298.948486328125;22299.939453125;5197.6650390625;3044.260009765625;24593.6171875;30720.9296875;90333.421875
15;1969.7685546875;0.0;2173.63232421875;22124.505859375;4885.4609375;2813.84228515625;24336.2578125;29830.33203125;88134.1015625
16;2164.934814453125;0.2353329360485077;2210.469970703125;22122.76953125;4784.43505859375;3028.3095703125;24619.767578125;29770.181640625;88701.484375
17;2107.953125;0.0;1964.2998046875;21607.705078125;4825.869140625;2699.39306640625;25040.9453125;29522.169921875;87768.328125
18;1833.5865478515625;0.0;1940.9129638671875;21529.521484375;4691.85107421875;2705.536865234375;24050.7421875;29624.955078125;86377.265625
19;1826.0118408203125;0.4706658720970154;2041.357666015625;21570.833984375;5011.951171875;2842.3623046875;24569.783203125;29857.998046875;87721.2890625
20;1974.189697265625;0.0;1912.016845703125;21584.419921875;5042.8017578125;3005.629638671875;24086.439453125;28856.009765625;86461.3359375
21;1803.421142578125;0.4706658720970154;1801.2078857421875;21428.38671875;4751.26416015625;3094.77392578125;24750.25390625;29711.765625;87341.671875
22;1821.81982421875;0.0;1796.6817626953125;22424.17578125;5362.07861328125;2969.97021484375;25039.81640625;29152.416015625;88566.890625
23;2040.6510009765625;0.0;1910.428466796875;20837.00390625;5147.02294921875;2861.626220703125;24579.35546875;29511.830078125;86888.5078125
24;2150.038330078125;0.0;1980.33349609375;20562.578125;5103.19384765625;2663.234130859375;25562.572265625;29103.822265625;87125.9765625
25;1886.4205322265625;0.0;1693.0994873046875;21425.51171875;5363.30859375;2925.30419921875;25995.47265625;29526.44140625;88816.0546875
26;1980.2879638671875;0.0;1782.9852294921875;21521.08984375;5018.40771484375;2733.15283203125;26076.35546875;29794.33203125;88907.078125
27;1944.659423828125;0.0;1753.03271484375;20881.7578125;5204.4853515625;2623.712158203125;24334.494140625;29567.939453125;86310.25
28;1626.1790771484375;0.0;1668.991455078125;20932.650390625;5094.271484375;2855.52490234375;25398.57421875;29697.81640625;87274.0703125
29;1484.3043212890625;0.0;1427.919677734375;20691.474609375;4934.0732421875;2923.74609375;25421.673828125;29744.10546875;86627.25
30;1504.5997314453125;1.4119975566864014;1683.152099609375;20802.361328125;5041.46240234375;2914.78271484375;25188.32421875;29335.984375;86472.453125
31;1631.8177490234375;0.0;1694.22998046875;20892.193359375;5125.287109375;3027.072998046875;25595.072265625;28867.26953125;86833.2265625
32;1543.4254150390625;0.0;1430.8128662109375;21596.39453125;5326.5517578125;2704.980712890625;25417.126953125;28942.9765625;86962.1875
