STEP;C11;NP;OCB;OCC;OCN;OCW;ONC;WYC;TOTAL
41;2271.6826171875;0.2353329360485077;2295.28271484375;15277.1533203125;3711.76953125;3114.35107421875;21030.890625;30856.55859375;78557.9140625
42;2332.21923828125;0.0;2206.48046875;15082.392578125;3833.44287109375;3396.30126953125;21206.138671875;30626.599609375;78683.71875
43;2205.783935546875;0.2353329360485077;2103.904541015625;14753.228515625;3771.21875;3248.75341796875;22066.140625;30795.107421875;78944.671875
44;2426.710693359375;0.0;2190.3310546875;15352.314453125;3916.100341796875;3320.305419921875;22202.76953125;30592.35546875;80001.015625
45;2487.689208984375;0.0;2262.7587890625;15778.8251953125;3762.980712890625;3580.82275390625;21671.78125;30390.3046875;79935.203125
46;2193.294189453125;1.8826634883880615;2289.58740234375;15352.2705078125;3982.2216796875;3368.1142578125;21520.822265625;31111.193359375;79819.5078125
47;2298.75048828125;0.0;2339.32568359375;15484.44140625;3809.0498046875;3265.5380859375;21826.345703125;30770.3671875;79793.84375
48;2033.6834716796875;0.0;2322.391845703125;15232.677734375;3783.661376953125;3291.5712890625;22178.009765625;30509.326171875;79351.4921875
49;2184.758544921875;0.0;2084.763916015625;15147.474609375;3904.631591796875;3531.0751953125;20931.291015625;30574.216796875;78358.390625
50;2186.18505859375;0.0;2094.287109375;15427.390625;3882.6845703125;3430.752197265625;21563.01171875;30125.966796875;78710.59375
51;2221.01513671875;0.0;2196.1669921875;15233.833984375;3834.95703125;3499.98974609375;21016.888671875;29925.22265625;77927.9296875
52;2006.8719482421875;0.0;2221.992431640625;15300.9521484375;3930.657470703125;3472.0625;21262.50390625;30259.662109375;78454.3984375
53;1868.57763671875;0.0;2308.306396484375;15221.9609375;3997.7216796875;3286.49365234375;22260.44921875;30395.2734375;79338.71875
54;1721.8662109375;0.0;2003.8963623046875;14294.43359375;3725.326171875;3429.663818359375;21282.19140625;30451.85546875;76909.2421875
55;1848.6810302734375;0.0;1987.2431640625;14333.908203125;3779.2578125;3411.377685546875;21331.68359375;30923.7265625;77615.8515625
56;1921.3480224609375;0.4706658720970154;1886.0106201171875;14493.1533203125;4001.305908203125;3100.809814453125;21520.61328125;30194.203125;77117.84375
57;1759.880859375;0.0;1991.583251953125;14587.359375;4103.92724609375;3018.365234375;21975.732421875;30062.369140625;77498.984375
58;2074.436767578125;0.0;1991.0858154296875;14045.9091796875;4099.82568359375;2909.77880859375;21741.7734375;30149.21875;77011.6953125
59;1725.6790771484375;0.0;1896.17919921875;14205.8681640625;3617.222412109375;2862.774169921875;22152.1796875;30287.30078125;76747.21875
60;1892.9725341796875;0.0;1951.5086669921875;14757.0537109375;4135.517578125;2961.576904296875;22137.455078125;30398.494140625;78234.578125
61;2118.958251953125;0.0;2165.415771484375;14703.2333984375;4058.621826171875;3220.271484375;23316.232421875;29909.548828125;79492.2421875
62;2224.720458984375;0.0;2174.894287109375;15120.0595703125;4156.53271484375;3363.37744140625;23054.875;29249.25;79343.6484375
63;2154.546142578125;0.0;2021.6199951171875;14626.154296875;3946.337646484375;3310.839111328125;21768.80859375;30045.26953125;77873.4140625
64;2026.453125;0.0;2256.135498046875;15261.3896484375;3978.017578125;3190.42138671875;21475.015625;30012.07421875;78199.7578125
65;1944.15673828125;0.0;2160.404296875;15185.8525390625;3894.432861328125;3266.9189453125;22306.1953125;29820.5078125;78578.625
66;2102.567138671875;0.0;2042.9415283203125;15483.0751953125;4117.7724609375;3186.109619140625;22191.828125;29302.283203125;78426.7578125
67;1810.213134765625;0.0;1775.9317626953125;15212.9189453125;3797.683349609375;3361.81640625;21429.814453125;29388.318359375;76776.4609375
68;1909.2265625;0.0;2000.9158935546875;15589.044921875;4209.3330078125;3200.76123046875;22069.173828125;29294.3671875;78272.84375
69;2104.84912109375;0.0;2135.02783203125;15745.9130859375;3971.986328125;3196.60009765625;22382.3046875;29298.232421875;78835.203125
70;2191.041748046875;0.0;2394.234375;15534.056640625;4044.135986328125;3342.5498046875;22403.0625;29354.884765625;79264.2109375
71;1925.456298828125;0.0;2106.206298828125;14918.4541015625;4205.1220703125;3160.682861328125;22205.330078125;28930.05078125;77451.1171875
72;2058.58984375;0.0;2132.483642578125;15589.3134765625;4296.56396484375;3222.321533203125;21757.87109375;29071.763671875;78128.9609375
73;2121.374267578125;0.2353329360485077;2050.33740234375;15490.1259765625;3900.18310546875;3181.9755859375;21364.46484375;29401.783203125;77510.4609375
74;2045.1546630859375;0.0;2102.52734375;15796.0732421875;4149.95751953125;3321.525634765625;21523.16796875;29578.083984375;78516.359375
75;1975.836181640625;0.0;2047.8092041015625;15194.16796875;3960.125;3168.06494140625;21578.09765625;29273.646484375;77197.71875
76;1648.3028564453125;0.0;2042.4964599609375;15006.3095703125;3851.69384765625;3224.283203125;21915.697265625;29139.646484375;76828.3125
77;1721.5504150390625;0.0;2166.95849609375;15867.525390625;3749.903076171875;3164.635986328125;21648.0625;29596.640625;77915.125
78;1700.79736328125;0.0;1858.7105712890625;15117.5244140625;3961.7763671875;3254.1728515625;21371.375;29735.94921875;77000.546875
79;1636.70556640625;0.0;1951.229248046875;15704.61328125;3755.950439453125;3200.794677734375;22337.708984375;29374.5703125;77961.453125
80;1481.879150390625;0.0;1945.571533203125;15582.6298828125;3712.1826171875;3214.29736328125;22326.88671875;29060.083984375;77323.484375
81;1649.4588623046875;0.0;2176.151123046875;16136.810546875;3556.756591796875;3342.60546875;22005.822265625;29206.69921875;78074.5078125
82;1770.9027099609375;0.0;1866.3685302734375;16160.3994140625;3890.14697265625;3124.982177734375;21424.921875;29691.166015625;77929.109375
83;1866.621337890625;0.0;2216.8876953125;15303.3017578125;4004.0654296875;3314.314453125;21949.6875;29130.68359375;77785.5859375
84;1921.735595703125;0.0;1819.901123046875;15192.7177734375;3946.176513671875;3486.873046875;21013.76953125;29452.953125;76834.1640625
85;2081.708740234375;0.0;2050.572265625;15190.6923828125;3854.117919921875;3250.13623046875;22074.35546875;29442.029296875;77943.5078125
86;1762.6705322265625;0.0;2171.507568359375;15630.216796875;4009.710693359375;3309.629638671875;22652.6171875;29742.283203125;79278.78125
87;2078.76953125;0.0;1947.71728515625;16238.9970703125;3895.17578125;3230.63232421875;22098.287109375;29570.412109375;79060.1484375
88;1995.27734375;0.0;2130.79345703125;15480.4248046875;3665.142333984375;3519.439208984375;21793.548828125;29505.98828125;78090.7421875
89;1724.3616943359375;0.2353329360485077;1866.4227294921875;15507.0029296875;3620.198486328125;3240.44384765625;21505.6171875;29199.794921875;76663.9765625
90;1718.686279296875;0.0;2110.367919921875;15009.1875;3578.559326171875;3201.464111328125;21694.8125;28817.6796875;76130.7421875
91;1592.2454833984375;0.0;2075.20263671875;15555.337890625;3539.4853515625;3210.443115234375;21942.916015625;29229.212890625;77144.5703125
92;1678.93701171875;0.0;1925.384765625;15404.7724609375;4000.36181640625;3138.92529296875;21384.294921875;29107.740234375;76640.2890625
93;1624.5009765625;0.0;1652.3524169921875;15359.0927734375;3449.3251953125;3018.91064453125;21311.068359375;29060.44140625;75475.71875
94;1613.0567626953125;0.0;2011.0640869140625;15547.31640625;4086.145263671875;3197.7001953125;21135.947265625;28816.037109375;76407.1171875
95;1871.333251953125;0.0;2230.64990234375;15480.25;4247.7802734375;3119.50244140625;22090.705078125;28287.51953125;77327.5390625
96;1721.8548583984375;0.0;1997.6123046875;15340.0087890625;3974.3134765625;3031.367919921875;21814.9375;27941.59765625;75821.71875
97;1871.53466796875;0.0;2232.39111328125;15640.0029296875;3902.724853515625;3265.599365234375;22244.984375;28349.873046875;77507.3203125
98;1892.6053466796875;0.0;2051.62109375;15515.9375;4065.818603515625;3164.86083984375;21445.4375;28709.794921875;76845.9453125
99;1874.2781982421875;0.0;2137.581298828125;14766.6875;3847.071044921875;3268.5849609375;22786.806640625;28821.53515625;77502.3515625
100;1564.269775390625;0.0;1937.162841796875;14727.7060546875;3551.53271484375;3337.921875;22173.025390625;28531.19140625;75822.7265625
101;1467.7916259765625;0.0;1955.9586181640625;15459.83203125;3657.95068359375;3257.069580078125;22045.33984375;28388.7734375;76232.703125
102;1635.14111328125;1.1766647100448608;2044.46484375;15304.3193359375;3908.307861328125;3412.1318359375;21894.5234375;28618.025390625;76818.0390625
103;1739.25146484375;0.0;1945.6688232421875;15059.18359375;3823.154296875;3051.498779296875;21369.2265625;29168.359375;76156.171875
104;1650.048095703125;0.0;2037.563720703125;15773.6953125;3633.49609375;3080.91748046875;22192.048828125;28960.654296875;77328.1484375
105;1795.39599609375;0.0;2049.210205078125;15221.3330078125;3605.18994140625;3179.00634765625;21795.525390625;28613.55078125;76258.921875
106;1788.283447265625;0.0;2094.550537109375;15774.0732421875;3610.077392578125;3294.088134765625;21788.0;28089.51953125;76438.3046875
107;1790.112060546875;0.0;2095.14599609375;15883.666015625;3666.21728515625;3338.232666015625;21835.298828125;28677.853515625;77286.6171875
108;1844.423095703125;0.4706658720970154;2103.752197265625;15126.794921875;3694.48779296875;3246.455810546875;21593.97265625;28157.80859375;75768.2265625
109;1509.0394287109375;0.0;1716.167236328125;15504.8291015625;3725.618408203125;3169.5634765625;21678.318359375;28353.052734375;75656.6171875
110;1807.760498046875;0.0;1959.28173828125;15876.2724609375;4121.498046875;3271.82177734375;21152.4921875;28560.615234375;76749.5234375
111;1863.73779296875;0.0;1973.936279296875;16026.380859375;3919.756103515625;3338.134765625;22079.12890625;28599.953125;77801.171875
112;1643.460693359375;0.0;1940.053955078125;15620.40234375;4144.365234375;3312.2529296875;21870.587890625;28044.79296875;76575.90625
113;1714.2994384765625;0.0;2104.94970703125;15216.0625;3685.95556640625;3329.28271484375;22458.115234375;27907.740234375;76416.2734375
114;1754.12646484375;0.0;1887.123291015625;15210.578125;3892.468505859375;3191.919189453125;21834.154296875;27947.6484375;75717.828125
115;1528.13232421875;0.0;1974.7174072265625;14956.61328125;3663.619140625;3259.21728515625;21650.302734375;28579.927734375;75612.3125
116;1850.134521484375;0.0;1858.97607421875;15107.2509765625;4024.01171875;3341.87939453125;21957.439453125;28170.71484375;76310.3984375
117;1642.5784912109375;0.0;2103.475830078125;15135.45703125;4117.88037109375;3005.96875;22504.09375;28047.1171875;76556.421875
118;2023.63623046875;0.0;2283.13134765625;15399.4287109375;3983.775634765625;3285.984375;21741.02734375;28043.552734375;76760.3046875
119;1947.298095703125;0.0;2146.12744140625;15475.38671875;3869.3046875;3290.734130859375;22626.865234375;28571.955078125;77927.546875
120;2285.94580078125;0.0;2119.0439453125;15816.205078125;4286.65771484375;3335.228759765625;22175.201171875;28424.84765625;78443.28125
121;1957.139892578125;0.0;2016.1636962890625;14697.4052734375;4118.20458984375;3230.444580078125;22542.720703125;28527.671875;77089.65625
122;1819.16552734375;0.0;1971.4735107421875;14770.3916015625;3897.67041015625;3188.075927734375;22781.953125;29155.185546875;77583.84375
123;1762.5894775390625;0.0;1779.21630859375;14895.466796875;3794.0302734375;3163.88818359375;22409.271484375;28250.35546875;76054.5703125
124;1906.9354248046875;0.2353329360485077;1829.1654052734375;14766.2314453125;4159.82080078125;3267.753662109375;22202.931640625;27996.166015625;76129.2421875
125;1781.528076171875;0.0;2061.10009765625;14238.6240234375;4213.375;3074.467529296875;22778.609375;27698.90625;75846.75
126;1985.62353515625;0.0;2053.648193359375;14759.9443359375;4017.72314453125;3091.581787109375;22511.482421875;27636.58984375;76056.6171875
127;1889.4298095703125;0.0;1929.994873046875;14794.2353515625;4130.3212890625;3145.66943359375;22292.859375;28039.23046875;76221.6796875
128;1766.199462890625;0.0;1950.7220458984375;13886.0068359375;3952.947998046875;2881.4951171875;23107.173828125;28696.1171875;76240.5625
129;1724.8448486328125;0.0;1829.4051513671875;14553.115234375;3791.44580078125;3060.006591796875;23045.060546875;28413.845703125;76417.6328125
130;1894.5023193359375;0.0;1736.01513671875;14533.5107421875;3672.20703125;2893.69384765625;23483.76171875;27762.607421875;75976.28125
131;2120.5244140625;0.0;2078.473876953125;14741.7392578125;4060.589111328125;2895.218017578125;23944.732421875;27857.306640625;77698.6328125
132;2041.402587890625;0.0;2071.80078125;14290.7734375;4121.2275390625;2946.502685546875;22912.673828125;27383.107421875;75767.546875
133;2066.782470703125;0.0;1984.4625244140625;14802.521484375;4063.392333984375;3033.846435546875;22481.599609375;27195.14453125;75627.5625
134;1993.28173828125;0.0;2300.653564453125;15768.990234375;4113.4228515625;2943.782958984375;22667.857421875;27334.927734375;77122.78125
135;2051.652099609375;0.0;2144.166259765625;14865.078125;3855.74462890625;2794.201904296875;22050.53515625;27036.068359375;74797.3125
136;2061.888427734375;0.0;2255.4794921875;15128.5244140625;3984.27685546875;2854.2919921875;22182.51171875;27362.767578125;75829.78125
137;1857.768310546875;0.0;2220.1201171875;14905.17578125;4270.7802734375;2914.162109375;22272.9921875;26980.427734375;75421.390625
138;1982.3917236328125;0.0;2084.136962890625;14909.5;3862.6455078125;2845.34228515625;23160.08203125;27514.06640625;76358.0
139;1676.822021484375;0.0;1765.4757080078125;14906.8154296875;3770.186767578125;2763.532470703125;22471.365234375;27442.96484375;74796.9140625
140;1791.9549560546875;0.0;1895.0859375;14753.208984375;4210.54296875;2655.906982421875;22995.91796875;26686.404296875;74988.78125
