STEP;C11;NP;OCB;OCC;OCN;OCP;ONC;PAN;TOTAL
0;4965.70068359375;0.7059987783432007;3285.25;18094.12109375;1706.1181640625;4373.12548828125;8697.5517578125;66030.8515625;107154.640625
1;4929.283203125;1.1766645908355713;3367.008544921875;18495.47265625;1590.81201171875;4460.06201171875;8615.1572265625;66031.609375;107491.890625
2;5372.4833984375;1.4119975566864014;3532.110595703125;18763.26171875;1523.080810546875;4462.41357421875;9147.8642578125;64756.05078125;107559.921875
3;4798.41162109375;0.2353329360485077;3296.869384765625;18034.34765625;1801.3011474609375;3954.396728515625;9232.439453125;63937.02734375;105056.5078125
4;4532.98095703125;0.4706658720970154;3172.985595703125;17722.71484375;1603.6456298828125;4248.02294921875;8820.13671875;64736.7890625;104839.140625
5;4727.58203125;0.0;3130.7744140625;17208.517578125;1772.554443359375;4162.908203125;8482.7236328125;63666.07421875;103152.9765625
6;4564.15380859375;0.2353329360485077;3118.579345703125;17085.4609375;1864.2960205078125;4142.3740234375;8547.408203125;64205.14453125;103529.5390625
7;4194.6083984375;0.4706658720970154;3056.03076171875;17456.1171875;1837.60400390625;4081.154296875;8928.6962890625;64865.65234375;104421.171875
8;4431.46923828125;0.0;3023.225830078125;16530.21875;1782.305419921875;3799.635498046875;8756.0009765625;62876.9140625;101200.9296875
9;4227.3720703125;2.823995351791382;3024.394775390625;16521.365234375;1814.1417236328125;3846.02685546875;8478.0537109375;63018.41015625;100933.7421875
10;4028.34716796875;1.411997675895691;3018.53125;15873.22265625;1729.0189208984375;3841.313232421875;8321.9228515625;62056.52734375;98871.2265625
11;4228.5322265625;3.294661045074463;2916.788330078125;15873.34375;1771.08349609375;3870.23779296875;8604.0146484375;62576.92578125;99845.3203125
12;4284.3642578125;0.2353329360485077;2581.070068359375;16033.994140625;1675.3060302734375;3701.823486328125;8656.8955078125;62461.3984375;99396.3671875
13;4390.74560546875;2.5886621475219727;2778.351318359375;16046.4599609375;1760.0684814453125;3906.20849609375;8990.029296875;62005.640625;99881.2890625
14;4464.357421875;2.1179964542388916;2819.1572265625;16013.2578125;1885.8612060546875;3835.422119140625;9103.357421875;60796.5078125;98920.953125
15;3643.1953125;0.9413317441940308;2672.476806640625;15749.5400390625;1771.9376220703125;3735.5654296875;8860.08984375;60852.57421875;97287.5859375
16;4072.8232421875;0.0;2960.300537109375;15794.4716796875;1562.7579345703125;3813.143798828125;8891.861328125;61454.57421875;98551.2109375
17;4104.125;0.2353329360485077;2878.960205078125;15620.1396484375;1540.247802734375;3532.1640625;8628.830078125;61775.171875;98080.546875
18;4020.95068359375;0.0;3052.974609375;15545.115234375;1537.9920654296875;3835.592529296875;9038.94140625;60218.46875;97251.15625
19;3643.256103515625;0.4706658720970154;3078.5078125;15813.23046875;1602.5401611328125;3779.25927734375;8578.76953125;60893.9765625;97390.921875
20;3593.596923828125;2.1179964542388916;2793.48779296875;15332.41015625;1474.1341552734375;3754.071533203125;8829.8515625;60276.53125;96057.296875
21;3512.6103515625;0.2353329360485077;3082.865966796875;15014.4794921875;1572.5321044921875;3717.313720703125;8938.478515625;61126.46875;96966.2890625
22;3462.119384765625;0.0;2906.94873046875;14978.5556640625;1772.087158203125;3756.7294921875;8286.4697265625;59879.2421875;95042.9609375
23;3410.026123046875;0.4706658720970154;2787.120361328125;14716.7294921875;1701.146728515625;3766.13623046875;8272.16796875;59657.06640625;94311.703125
24;3408.479248046875;0.4706658720970154;2744.42236328125;15196.0791015625;1661.38330078125;3819.515380859375;8762.8232421875;59892.94921875;95487.234375
25;3367.25927734375;0.0;2831.600830078125;15280.447265625;1530.5745849609375;3615.429931640625;8522.296875;59790.7734375;94939.34375
26;3204.14697265625;0.2353329360485077;2810.057373046875;15075.36328125;1608.4261474609375;3863.8603515625;7996.5693359375;59422.046875;93981.71875
27;3353.795654296875;0.2353329360485077;2695.72900390625;14956.0068359375;1610.567626953125;3808.357666015625;8423.3974609375;58953.28125;93802.734375
28;3281.962646484375;0.7059987783432007;2880.1181640625;14773.3486328125;1421.713134765625;3725.97705078125;8385.0947265625;59331.52734375;93801.4765625
29;3270.5380859375;0.0;2446.91162109375;14921.5947265625;1412.2247314453125;3653.472412109375;8521.02734375;58624.7109375;92851.3125
30;3190.723388671875;0.0;2510.33349609375;14467.8583984375;1522.16259765625;3739.90185546875;8121.0068359375;58813.0078125;92366.0546875
31;3338.273193359375;0.9413317441940308;2716.57568359375;14906.4072265625;1682.5791015625;3612.160400390625;8252.7685546875;59385.171875;93895.703125
32;3000.74658203125;0.2353329360485077;2543.27880859375;14657.19921875;1534.8868408203125;3557.41943359375;8188.5751953125;58561.703125;92044.9921875
33;3257.364013671875;1.8826634883880615;2538.413818359375;14415.431640625;1691.9993896484375;3596.781982421875;8471.388671875;58609.10546875;92583.3984375
34;3248.46044921875;0.2353329360485077;2611.458740234375;14732.7880859375;1600.6190185546875;3696.117919921875;8793.431640625;58958.0859375;93641.9296875
35;3155.6982421875;0.9413317441940308;2757.2958984375;14333.9736328125;1469.3404541015625;3737.418701171875;8833.962890625;58728.0546875;93017.453125
36;3078.258544921875;1.8826634883880615;2570.482421875;14383.8955078125;1604.6455078125;3831.084716796875;9166.533203125;58369.39453125;93007.015625
37;3132.33251953125;0.7059987783432007;2767.176513671875;15006.8466796875;1576.390625;3756.592041015625;9075.576171875;59465.37109375;94782.1328125
38;3086.030517578125;0.4706658720970154;2366.32470703125;14423.890625;1575.0836181640625;3575.40283203125;9047.4345703125;59662.80859375;93738.25
39;2881.638671875;0.0;2461.88037109375;14553.0908203125;1407.2017822265625;3685.218994140625;8772.2841796875;58239.265625;92001.6953125
40;3028.55078125;1.1766647100448608;2394.31982421875;14673.794921875;1511.694580078125;3472.03076171875;8371.119140625;58117.5703125;91571.5
41;2643.152587890625;0.7059987783432007;2374.553955078125;14821.0986328125;1567.955810546875;3415.378662109375;8621.599609375;58271.47265625;91716.6328125
42;2888.388427734375;0.4706658720970154;2274.752685546875;14271.505859375;1589.43994140625;3050.81787109375;8571.4013671875;58556.203125;91203.75
43;2837.905029296875;1.4119975566864014;2508.971435546875;14468.283203125;1647.8001708984375;3229.69873046875;8953.333984375;59623.265625;93271.3515625
44;2796.473388671875;0.0;2611.69580078125;14221.6875;1397.55908203125;3487.9326171875;8700.205078125;59086.9765625;92303.6953125
45;2832.72412109375;0.2353329360485077;2491.915771484375;13897.423828125;1581.8316650390625;3237.107666015625;9250.1318359375;57984.37109375;91276.578125
46;2835.94580078125;0.2353329360485077;2375.68798828125;13995.3916015625;1885.16259765625;3313.208740234375;9802.6015625;58329.12890625;92538.15625
47;2870.890380859375;0.2353329360485077;2319.633056640625;14109.3759765625;1704.447509765625;3576.2548828125;9337.265625;57493.703125;91412.875
48;2723.50048828125;3.059328317642212;2371.903076171875;13708.2021484375;1644.08349609375;3504.175048828125;9072.4609375;58049.91015625;91077.9375
49;2669.861328125;0.9413317441940308;2233.62841796875;13926.103515625;1503.8668212890625;3372.228515625;9261.08203125;59210.078125;92178.6328125
50;2891.828125;0.7059987783432007;2387.6884765625;14259.64453125;1379.78515625;3446.26318359375;9264.458984375;58891.0625;92522.3828125
51;2917.794189453125;0.2353329360485077;2258.74755859375;14124.794921875;1576.45458984375;3517.109619140625;9315.7431640625;57850.6484375;91562.21875
52;2747.422607421875;0.4706658720970154;2062.281494140625;13458.533203125;1617.298095703125;3395.883544921875;9331.3828125;57799.17578125;90413.1796875
53;2779.94775390625;0.0;2030.1693115234375;13392.2978515625;1506.75927734375;3534.729736328125;9394.3310546875;57564.9375;90204.03125
54;2672.823974609375;0.7059987783432007;2183.2861328125;13161.1416015625;1787.4725341796875;3218.469482421875;8921.869140625;57780.23046875;89726.9140625
55;2695.618408203125;0.4706658720970154;2311.8818359375;13933.01171875;1686.5526123046875;3283.559814453125;9184.8984375;58253.08203125;91349.734375
56;2770.32568359375;3.294661045074463;2257.718505859375;13404.0615234375;1638.109375;3269.653076171875;9216.109375;57800.38671875;90360.34375
57;2850.668701171875;1.1766647100448608;2146.28955078125;13368.8193359375;1690.8507080078125;3331.639892578125;9040.685546875;57957.8984375;90389.0625
58;2910.776611328125;0.7059987783432007;2149.581787109375;14204.2216796875;1722.47998046875;3313.410400390625;8996.6435546875;58469.43359375;91768.1953125
59;2822.98828125;1.1766645908355713;2363.18359375;13652.13671875;1740.0238037109375;3008.021484375;8679.7509765625;57720.00390625;89987.84375
60;2738.539306640625;0.0;2357.620361328125;13756.9140625;1538.8714599609375;3164.2509765625;9295.38671875;58094.34375;90946.7734375
61;2747.583984375;0.9413317441940308;2390.833251953125;13684.3603515625;1724.7305908203125;3222.658935546875;8958.09765625;58037.08203125;90766.921875
62;2582.345947265625;0.4706658720970154;2168.560302734375;13461.5087890625;1634.093994140625;3534.701904296875;8092.890625;58357.59765625;89832.9921875
63;2733.363037109375;0.0;2380.84814453125;12917.802734375;1704.1856689453125;3390.513427734375;9048.4345703125;58159.51953125;90335.3359375
64;2723.592529296875;0.4706658720970154;2346.52734375;13408.0517578125;1751.322265625;3454.187744140625;8920.4443359375;57908.5859375;90513.6171875
65;2700.840576171875;0.0;2400.110595703125;13358.2705078125;1623.71484375;3350.244384765625;9184.71875;57788.3203125;90406.90625
66;2788.240234375;0.7059987783432007;2178.11669921875;13555.6376953125;1453.632080078125;3558.85107421875;8697.6064453125;57980.6015625;90214.59375
67;2580.989501953125;0.2353329360485077;2236.08544921875;13475.0302734375;1680.44189453125;3428.711669921875;8635.0390625;57576.75;89614.328125
68;2734.381591796875;0.9413317441940308;2270.276611328125;12850.166015625;1449.4420166015625;3269.477783203125;8838.9365234375;57784.7109375;89199.234375
69;2635.174072265625;3.294661045074463;2074.1708984375;13437.28125;1437.5931396484375;3446.229736328125;8548.35546875;56655.8125;88238.5703125
70;2360.70263671875;0.7059987783432007;2297.2685546875;13281.3115234375;1631.2169189453125;3221.23779296875;8474.9296875;56922.84765625;88190.65625
71;2585.039306640625;0.4706658720970154;2308.93212890625;13068.224609375;1550.409423828125;3380.739990234375;8842.67578125;56829.796875;88567.1015625
72;2636.0263671875;0.7059987783432007;2091.416259765625;13254.3447265625;1685.7645263671875;3184.885498046875;8860.9580078125;56391.03515625;88105.515625
73;2835.80078125;1.411997675895691;2214.775634765625;13173.3798828125;1712.1451416015625;3308.640625;8516.6728515625;56667.078125;88430.7421875
74;2607.675537109375;0.9413317441940308;2133.396240234375;13247.3427734375;1612.6866455078125;3485.7333984375;8564.8857421875;57266.4140625;88919.6484375
75;2764.42431640625;2.8239951133728027;2263.712158203125;13268.4453125;1377.671630859375;3170.68017578125;9040.466796875;56854.0;88743.0859375
76;2885.481689453125;0.7059987783432007;2129.810302734375;12810.376953125;1239.39404296875;3059.71240234375;8386.5439453125;56540.85546875;87053.625
77;2540.375732421875;0.2353329360485077;2118.207763671875;13013.73046875;1545.371337890625;3076.145263671875;8759.3125;56291.83203125;87345.5859375
