STEP;C11;NP;OCB;OCC;OCE;OCN;ONC;ZOR;TOTAL
36;1860.916259765625;0.0;1786.6749267578125;20473.091796875;2412.317626953125;5461.8564453125;26238.234375;22427.927734375;80660.7890625
37;1670.756103515625;0.0;1659.4664306640625;20299.60546875;2415.2880859375;5217.130859375;25441.404296875;22498.232421875;79201.59375
38;1750.621826171875;0.0;1625.4085693359375;20575.76953125;2293.6181640625;5352.9462890625;24869.201171875;22044.888671875;78512.3046875
39;1896.6021728515625;0.0;1770.843505859375;20705.875;2230.627197265625;5229.10400390625;25391.591796875;22126.087890625;79350.671875
40;1792.6759033203125;0.7059987783432007;1891.9044189453125;20097.189453125;2149.43408203125;5118.62060546875;25432.064453125;21975.783203125;78458.15625
41;1870.862060546875;0.0;1835.93408203125;20019.0078125;2371.89208984375;5549.43017578125;26016.96875;22267.30078125;79931.5
42;1932.0465087890625;0.0;1773.73583984375;19938.20703125;2117.293212890625;5117.4189453125;25496.38671875;22237.115234375;78612.265625
43;1931.9344482421875;0.0;2025.76806640625;20524.373046875;2382.530517578125;5202.84814453125;25528.068359375;21459.521484375;79055.046875
44;1959.6192626953125;0.0;1757.094970703125;20231.287109375;2283.58154296875;4641.2392578125;25118.626953125;21466.31640625;77457.6171875
45;1735.0206298828125;0.0;1679.890380859375;20723.3671875;2394.25634765625;5196.74609375;24576.423828125;21489.666015625;77795.0625
46;1865.9764404296875;0.2353329360485077;1788.1798095703125;21741.55859375;2122.77490234375;5020.89990234375;25046.544921875;21092.21484375;78678.3125
47;2004.42236328125;0.0;1810.226806640625;20246.0234375;2455.310791015625;5181.51708984375;24755.93359375;21547.58984375;78000.71875
48;1895.302734375;0.0;1752.5155029296875;20319.419921875;2189.96484375;5198.5654296875;24865.90625;21605.607421875;77827.515625
49;1760.136962890625;0.0;1649.5079345703125;19536.330078125;2330.95703125;5053.95166015625;25615.3984375;21491.263671875;77437.453125
50;1792.5096435546875;0.0;1636.640625;19452.4140625;2483.61181640625;5248.66455078125;25230.55078125;20916.666015625;76760.78125
51;1987.0169677734375;0.0;1501.5733642578125;19996.734375;2292.200927734375;4711.3173828125;25056.046875;21722.03515625;77266.9453125
52;1660.232421875;0.0;1941.1983642578125;20302.224609375;2310.492431640625;4785.8505859375;26226.060546875;21085.525390625;78311.5859375
53;1784.7437744140625;0.0;1803.0025634765625;20126.865234375;2330.618896484375;5083.8779296875;25381.109375;20934.15625;77444.40625
54;1635.301513671875;0.0;1717.4188232421875;19982.595703125;2454.93798828125;5186.0048828125;25194.958984375;20755.236328125;76926.015625
55;1613.211669921875;0.0;1450.993408203125;19276.1328125;2356.38232421875;4687.662109375;25478.609375;20992.466796875;75855.3359375
56;1549.6514892578125;0.2353329360485077;1553.039306640625;20224.423828125;2259.42138671875;5067.81884765625;25921.060546875;20990.669921875;77566.0078125
57;1735.889404296875;0.0;1732.17041015625;20312.201171875;2150.640625;5173.14404296875;25441.62109375;20838.31640625;77383.9609375
58;1700.687255859375;0.0;1778.7677001953125;20334.197265625;2173.260986328125;5081.68505859375;25904.880859375;20726.58984375;77700.109375
59;1855.7142333984375;0.0;1777.17578125;21055.986328125;2268.867431640625;5221.828125;26210.359375;20697.595703125;79087.46875
60;1687.6800537109375;0.0;1650.79736328125;20429.083984375;2219.51708984375;5374.287109375;26308.259765625;20844.30859375;78513.9609375
61;1725.833251953125;0.0;1698.759033203125;21443.84375;2428.355224609375;5399.31689453125;26290.70703125;20779.91796875;79767.0234375
62;1579.6077880859375;0.0;1665.27197265625;20608.8125;2163.8935546875;5135.916015625;25867.423828125;20563.078125;77583.8671875
