STEP;C11;NP;OCB;OCC;OCW;WBL;WYC;TOTAL
38;1686.6552734375;1.1766647100448608;1641.559814453125;22264.380859375;9548.435546875;5417.71826171875;30616.048828125;71175.7578125
39;1738.097900390625;0.0;1989.1722412109375;23332.474609375;9336.31640625;5555.57958984375;29976.58203125;71927.984375
40;1768.509033203125;0.0;1770.2894287109375;21776.177734375;9941.9130859375;5321.21484375;29901.353515625;70479.1328125
41;1798.103271484375;0.0;1776.676513671875;21484.474609375;9448.5;5451.4697265625;29421.908203125;69380.75
42;1713.70166015625;0.0;1609.8033447265625;21462.7890625;9736.80078125;5329.212890625;28915.41796875;68767.4140625
43;1820.124267578125;0.0;1681.109375;21817.115234375;9287.326171875;5565.35888671875;29685.857421875;69856.5
44;1942.4671630859375;0.0;1748.0609130859375;21694.44140625;9462.044921875;5258.654296875;28788.125;68893.3125
45;1837.5628662109375;0.0;2002.288330078125;21691.384765625;9298.8349609375;5135.140625;29270.30859375;69235.1484375
46;1803.322265625;0.0;1625.4775390625;21120.41015625;9599.150390625;5234.11376953125;29075.416015625;68457.3828125
47;1678.31884765625;0.0;1445.0738525390625;21605.884765625;9386.708984375;5979.181640625;28776.310546875;68870.6796875
48;1573.656982421875;0.7059987783432007;1492.4803466796875;21240.40234375;10315.1455078125;5661.3623046875;28263.515625;68546.78125
49;1611.3931884765625;0.0;1293.9886474609375;21638.65625;9495.6572265625;5004.56494140625;28152.673828125;67196.625
50;1467.0400390625;0.0;1549.969970703125;21254.974609375;9414.9794921875;5585.47509765625;28826.673828125;68098.875
51;1433.5897216796875;0.0;1658.80419921875;21815.4375;9877.302734375;5339.146484375;28543.25390625;68667.1328125
52;1545.8759765625;0.0;1350.2042236328125;22161.9140625;9976.9384765625;5526.20263671875;28622.357421875;69182.9609375
53;1569.1396484375;0.0;1560.057373046875;21734.123046875;9743.8515625;5850.626953125;27557.8828125;68015.265625
54;1782.600830078125;0.0;1532.6522216796875;21611.66796875;9725.6962890625;5711.64404296875;28191.001953125;68554.84375
55;1669.4251708984375;0.0;1508.05615234375;21308.80078125;10030.337890625;6312.71728515625;28658.37109375;69487.4609375
56;1587.64697265625;0.0;1546.7955322265625;21112.091796875;9368.755859375;6306.7333984375;28642.97265625;68564.546875
57;1425.085693359375;0.2353329360485077;1707.2105712890625;22048.517578125;9870.640625;5729.95263671875;28258.4375;69039.71875
58;1548.3023681640625;0.0;1606.2392578125;21667.248046875;10280.6181640625;6063.63720703125;27712.185546875;68877.828125
59;1604.5572509765625;0.0;1621.6424560546875;22294.9296875;9929.6953125;5212.33349609375;27718.912109375;68381.875
60;1388.271240234375;0.0;1394.765869140625;21070.626953125;9413.6923828125;5625.8642578125;28518.6171875;67411.484375
61;1579.74169921875;0.0;1443.0540771484375;20255.607421875;9731.1708984375;5632.41552734375;28576.822265625;67218.3984375
62;1456.4281005859375;0.0;1529.3541259765625;20623.779296875;9582.6162109375;5788.515625;28084.66015625;67064.6953125
63;1350.47998046875;0.0;1571.947509765625;20628.36328125;9367.8994140625;5375.3173828125;28566.1796875;66859.453125
64;1356.4798583984375;0.0;1648.5291748046875;20659.08203125;9551.0810546875;5840.2158203125;29114.34375;68169.25
65;1560.33154296875;0.0;1566.0697021484375;21225.439453125;9994.8212890625;5961.78564453125;28477.640625;68785.65625
66;1458.8575439453125;0.0;1538.9161376953125;21374.236328125;9821.560546875;5761.53662109375;28308.0625;68262.7421875
67;1396.7672119140625;0.0;1665.900146484375;21418.826171875;9447.857421875;5301.974609375;28135.35546875;67366.359375
68;1488.36328125;0.0;1650.2015380859375;22396.865234375;10075.2431640625;5808.78662109375;28101.783203125;69520.8203125
69;1399.374267578125;0.0;1472.78955078125;21542.42578125;9178.44921875;5916.91796875;28725.544921875;68235.1171875
70;1383.1434326171875;0.7059987783432007;1536.176025390625;22008.958984375;9057.62890625;5620.46728515625;28201.23828125;67808.03125
71;1585.7939453125;0.0;1613.6622314453125;22025.30859375;9095.8681640625;5605.4873046875;28417.15625;68342.8203125
72;1473.579833984375;0.0;1732.3170166015625;22116.583984375;9850.861328125;5897.7470703125;28789.25390625;69859.9296875
73;1418.757080078125;0.0;1857.2078857421875;22123.322265625;9162.6279296875;5904.3525390625;29294.65625;69760.6796875
74;1516.90771484375;0.0;1697.6431884765625;21903.689453125;9416.62890625;5655.16796875;28888.326171875;69077.90625
75;1432.0517578125;0.0;1776.209716796875;22312.408203125;10075.474609375;5957.17236328125;28907.9453125;70460.7265625
76;1496.741455078125;0.0;1804.5479736328125;22053.044921875;9528.400390625;6188.10546875;28706.892578125;69777.4296875
77;1414.8211669921875;0.0;1811.712158203125;22187.76953125;9146.4892578125;5301.99169921875;28595.095703125;68457.609375
78;1401.623779296875;0.0;1597.1724853515625;21964.03125;9389.09375;6092.04833984375;28160.97265625;68604.4140625
79;1386.5953369140625;0.0;1656.145263671875;22020.716796875;9963.1572265625;6013.25634765625;28384.7734375;69424.4375
80;1362.49072265625;0.2353329360485077;1756.0238037109375;22656.74609375;9707.1845703125;5927.70703125;28783.298828125;70193.3125
81;1283.898193359375;0.0;1640.6490478515625;21399.251953125;9745.685546875;5958.33642578125;27401.087890625;67428.40625
82;1348.2081298828125;0.0;1553.0137939453125;22199.904296875;9564.5419921875;5794.86474609375;27353.806640625;67813.765625
83;1232.1011962890625;0.0;1531.8399658203125;22137.845703125;9936.9765625;6320.21923828125;27956.595703125;69115.3359375
84;1615.6617431640625;0.0;1830.8006591796875;23554.998046875;10330.4580078125;6018.73974609375;27452.69140625;70803.0625
