STEP;C11;NP;OCB;OCC;OCN;OCZ;ONC;ZIL;TOTAL
0;2507.27294921875;0.2353329360485077;2390.960693359375;17628.701171875;1245.61376953125;6955.62255859375;6992.3544921875;40071.48046875;77792.421875
1;2487.125732421875;0.2353329360485077;2298.373291015625;17229.419921875;1280.5111083984375;6778.6650390625;6093.052734375;39187.640625;75355.1171875
2;2458.712646484375;0.0;2162.127685546875;17731.48828125;1190.1285400390625;6961.57421875;6261.52392578125;39492.2734375;76257.59375
3;2363.481689453125;0.9413317441940308;2255.0546875;17641.958984375;1373.3753662109375;6628.4267578125;7221.5322265625;39472.625;76957.203125
4;2411.16015625;0.9413317441940308;2177.7119140625;18042.4296875;1267.5865478515625;6504.0361328125;7238.0625;39008.66796875;76650.6875
5;2289.53466796875;0.4706658720970154;2183.58203125;18152.38671875;1217.2269287109375;6655.07275390625;7310.42431640625;38106.6015625;75915.0078125
6;2306.91357421875;0.0;2125.943115234375;17841.61328125;1258.6217041015625;6270.306640625;7250.197265625;39021.484375;76075.125
7;2343.547607421875;0.0;2097.337646484375;17165.7578125;1223.4281005859375;6191.80419921875;7498.35107421875;38488.9375;75009.453125
8;2250.608154296875;0.7059987783432007;2010.9542236328125;17893.619140625;1201.213134765625;6347.5205078125;7691.27685546875;37582.25;74977.9296875
9;2303.1025390625;0.4706658720970154;2074.83544921875;18300.212890625;1480.7802734375;6493.74072265625;7481.6103515625;37860.1171875;75994.921875
10;1903.6552734375;0.2353329360485077;1899.9346923828125;18063.005859375;1146.5438232421875;6601.31103515625;7646.5166015625;37241.15625;74502.1796875
11;2031.3675537109375;0.2353329360485077;2071.68115234375;17498.59765625;1202.202880859375;6376.74267578125;7659.09814453125;37409.41015625;74249.0625
12;2006.6632080078125;0.4706658720970154;2048.400390625;17881.62109375;1228.9605712890625;6456.23681640625;7392.36328125;37338.2421875;74352.8984375
13;2136.66455078125;0.9413317441940308;2237.847900390625;18356.4921875;1338.1341552734375;6638.90869140625;7160.654296875;36816.3828125;74685.984375
14;1886.1064453125;0.0;2149.643310546875;17670.8359375;1132.283935546875;6661.18017578125;7387.671875;37062.0703125;73949.9140625
15;1882.273193359375;0.0;2052.237060546875;17215.25;1322.7335205078125;6748.77294921875;7427.962890625;36989.23046875;73638.2265625
16;1904.110595703125;0.9413317441940308;1822.9716796875;17325.58984375;1282.1162109375;6725.75927734375;7841.20654296875;36961.609375;73864.3828125
17;1692.4915771484375;0.0;1917.9158935546875;17221.943359375;1105.6385498046875;6865.78857421875;7356.14990234375;36908.3671875;73068.078125
18;1864.881591796875;0.0;1933.4014892578125;17255.259765625;1220.4329833984375;6790.8876953125;7572.7861328125;36846.85546875;73484.40625
19;1788.4100341796875;0.0;2168.644775390625;17667.2265625;982.1768188476563;6711.12353515625;6855.94970703125;35535.625;71708.953125
20;1712.260498046875;0.0;2098.32958984375;17123.5234375;1202.717041015625;6543.42529296875;6993.99169921875;36936.1015625;72610.2265625
21;1954.0130615234375;0.4706658720970154;1929.512451171875;17120.734375;1283.267822265625;6710.04931640625;7757.609375;36262.234375;73018.0859375
22;1782.4251708984375;0.0;1818.9805908203125;16398.994140625;1305.8895263671875;6415.58642578125;7481.9755859375;37029.02734375;72232.625
23;1752.5084228515625;0.2353329360485077;1860.1783447265625;16976.263671875;1266.9053955078125;6687.2197265625;7940.13427734375;36189.78125;72672.9921875
24;1893.5941162109375;0.0;1727.762939453125;16917.837890625;1349.9710693359375;6801.9970703125;7829.474609375;36361.75;72882.0234375
25;1802.24853515625;0.0;1947.9935302734375;17248.759765625;1204.187744140625;6983.01953125;8114.056640625;36048.046875;73347.9609375
26;1607.5928955078125;0.0;1869.631591796875;17325.640625;1176.798095703125;6701.99560546875;8202.826171875;35637.625;72521.8828125
27;1723.060546875;0.0;1912.669921875;17019.7578125;1349.7767333984375;6538.27490234375;8116.13916015625;36570.3046875;73229.703125
28;1857.6802978515625;0.4706658720970154;1821.3184814453125;16966.53515625;1220.8851318359375;6473.9931640625;7741.2666015625;35659.546875;71741.46875
29;1676.044677734375;0.0;1749.096435546875;16791.736328125;1199.5091552734375;6472.0947265625;7936.7666015625;35230.0703125;71054.90625
30;1806.3641357421875;0.0;1723.983154296875;16553.94140625;1320.758544921875;6536.7158203125;7751.9423828125;35508.015625;71201.4140625
31;1791.462158203125;0.2353329360485077;1774.5958251953125;17104.546875;1303.2374267578125;6559.0478515625;7935.67431640625;35673.7109375;72142.1953125
32;1630.347412109375;0.0;1719.9034423828125;16786.755859375;1283.7998046875;6496.02734375;7713.64208984375;35312.96875;70943.125
33;1543.41162109375;0.4706658720970154;1818.045166015625;16411.40234375;1289.5792236328125;6407.7412109375;7558.373046875;35897.703125;70926.28125
34;1685.41162109375;0.0;1748.4420166015625;16547.349609375;1120.3057861328125;6619.4755859375;7831.23388671875;35827.83984375;71379.7890625
35;1684.0391845703125;0.7059987783432007;1827.529296875;16877.794921875;1288.410888671875;6676.0634765625;7416.42626953125;34971.71484375;70742.3515625
36;1496.97412109375;0.0;1738.77197265625;16322.0234375;1337.96826171875;6388.11474609375;7439.88330078125;35796.3515625;70519.59375
37;1461.2083740234375;0.0;1691.9583740234375;16597.21484375;1098.6146240234375;6614.794921875;7720.70751953125;36110.33984375;71294.4375
38;1581.2587890625;0.0;1705.6876220703125;17070.173828125;1526.021728515625;6421.951171875;8066.97607421875;35969.421875;72341.2421875
39;1871.5889892578125;0.7059987783432007;1666.47998046875;16722.248046875;1390.7626953125;6824.74169921875;7897.83447265625;35592.9921875;71967.1640625
40;1862.096435546875;0.9413317441940308;1827.7109375;17184.806640625;1360.3729248046875;6464.234375;8090.607421875;35318.72265625;72109.25
41;1633.3758544921875;0.4706658720970154;1839.1368408203125;16252.869140625;1192.181396484375;6608.4169921875;7872.73974609375;34890.09765625;70288.96875
42;1787.8885498046875;1.1766645908355713;1694.2674560546875;16413.205078125;1180.568359375;6217.5458984375;8128.7744140625;34720.50390625;70143.6015625
43;1686.055908203125;0.0;1762.5743408203125;16679.767578125;1340.614990234375;6356.7236328125;7937.1376953125;35084.65234375;70847.125
44;1602.50634765625;0.0;1640.2550048828125;15688.6943359375;1045.535400390625;6223.53515625;7470.89306640625;35172.1484375;68843.1484375
45;1765.711669921875;0.2353329360485077;1702.324462890625;16033.109375;968.2813110351563;6311.02197265625;7558.80224609375;34345.25390625;68684.46875
46;1715.950927734375;0.0;1716.3013916015625;15719.5693359375;1207.75390625;6415.9765625;7728.6328125;35012.01953125;69515.9453125
47;1665.421630859375;0.4706658720970154;1643.4862060546875;15809.0712890625;1113.5113525390625;6291.56982421875;7378.27392578125;35477.98046875;69379.4375
48;1747.357421875;0.0;1742.3812255859375;15462.2392578125;965.977783203125;6227.7998046875;7369.1962890625;35370.60546875;68885.2265625
49;1909.9183349609375;0.2353329360485077;1597.8948974609375;15931.5205078125;1131.29296875;6375.47705078125;7350.4169921875;34674.4921875;68970.84375
50;1527.4998779296875;0.7059987783432007;1830.392822265625;15559.4345703125;1131.34326171875;6172.94287109375;7577.88720703125;34536.62109375;68336.3359375
51;1566.3665771484375;0.0;1731.9725341796875;15484.9541015625;1209.993896484375;6158.1455078125;7551.69482421875;34693.40625;68396.078125
