STEP;C11;NP;OCB;OCC;OCE;OCN;ONC;ZOR;TOTAL
25;1549.1259765625;0.0;2053.71484375;15126.728515625;2924.690185546875;3954.912353515625;23253.294921875;23816.4609375;72678.484375
26;1468.9415283203125;0.4706658720970154;2095.979736328125;14524.296875;2966.98828125;4359.560546875;23149.451171875;24411.548828125;72977.21875
27;1522.144287109375;0.2353329360485077;2247.53955078125;14085.4541015625;2760.02880859375;4013.139404296875;22952.861328125;24242.85546875;71824.0703125
28;1539.165771484375;0.2353329360485077;2004.480712890625;14613.8115234375;2947.426025390625;4103.921875;23266.091796875;24092.486328125;72567.359375
29;1654.9390869140625;0.0;2080.8212890625;14217.0234375;2782.139404296875;4093.60595703125;23081.67578125;23979.630859375;71889.8046875
30;1355.9542236328125;0.2353329360485077;2060.65673828125;14529.6220703125;2909.933349609375;4137.89208984375;22442.439453125;23973.6015625;71410.265625
31;1468.9813232421875;0.0;1983.583740234375;14795.7861328125;3008.36669921875;4210.60791015625;23458.330078125;23476.4765625;72401.8046875
32;1504.3333740234375;0.0;1988.12109375;14793.3271484375;3003.424072265625;4381.2431640625;22966.8515625;23696.04296875;72333.1640625
33;1651.3057861328125;0.0;2105.40625;14950.0078125;2747.434814453125;4096.0576171875;22939.140625;23350.25390625;71839.125
34;1692.43701171875;0.0;1980.2593994140625;14594.6669921875;2713.124755859375;4071.49853515625;21968.640625;23469.572265625;70489.875
35;1675.6455078125;0.0;1850.4412841796875;14773.115234375;2867.909423828125;3981.275146484375;22259.74609375;23460.935546875;70868.8203125
36;1565.38916015625;0.9413317441940308;1911.2525634765625;15975.349609375;2873.23681640625;4203.109375;23336.1640625;23452.94140625;73317.9296875
37;1474.8175048828125;0.0;1925.7857666015625;15751.6279296875;2844.88623046875;3931.719482421875;21793.6484375;23144.125;70866.3046875
38;1394.6107177734375;0.0;2032.570556640625;15838.64453125;2896.50341796875;4545.44970703125;22775.83984375;23324.09765625;72807.421875
39;1552.1610107421875;0.0;1808.4752197265625;15301.119140625;2881.42431640625;4441.29296875;22870.009765625;23302.01953125;72156.421875
40;1537.9368896484375;0.0;1816.215576171875;15248.3359375;2645.404052734375;3829.83740234375;22720.03125;23156.3984375;70953.9296875
41;1659.7352294921875;0.2353329360485077;1953.3502197265625;15014.365234375;2424.219482421875;4264.3349609375;22449.11328125;22576.9921875;70342.1328125
42;1443.0093994140625;0.0;2002.4920654296875;14890.7578125;2577.492919921875;4029.330322265625;22266.287109375;22030.775390625;69239.7421875
43;1540.731689453125;0.0;1720.4224853515625;15752.60546875;2527.252685546875;3963.4599609375;22590.87109375;22773.251953125;70868.2265625
44;1748.9306640625;0.0;1862.293212890625;15469.65625;2687.653564453125;4038.71923828125;23291.546875;22269.8125;71368.2109375
45;1548.2520751953125;0.2353329360485077;1842.4693603515625;14741.28515625;2583.79443359375;3853.129150390625;22938.212890625;22661.2421875;70168.3984375
46;1584.1798095703125;0.7059987783432007;1870.23291015625;14514.5888671875;2519.525390625;3866.03125;23123.373046875;22496.95703125;69975.2421875
47;1522.439697265625;0.0;1821.5777587890625;14674.517578125;2309.0;4356.91162109375;22812.251953125;22175.58984375;69671.9609375
48;1446.2725830078125;0.2353329360485077;1952.6912841796875;15189.50390625;2553.046630859375;4379.8388671875;24328.30078125;22213.48828125;72063.3046875
49;1448.2628173828125;0.2353329360485077;2094.244140625;15017.6337890625;2643.094482421875;4204.4609375;23649.5;21975.4453125;71032.609375
50;1305.6019287109375;0.4706658720970154;1799.452392578125;15231.9208984375;2557.296630859375;4223.4248046875;23187.6875;22539.0;70844.6953125
51;1404.1495361328125;0.0;1620.8045654296875;14677.208984375;2399.570556640625;3999.61767578125;22837.013671875;22317.998046875;69256.0234375
52;1429.779296875;0.0;1762.16015625;14704.689453125;2347.223876953125;4299.46484375;22969.953125;22482.591796875;69995.6796875
53;1507.2476806640625;0.2353329360485077;1843.601318359375;15704.5615234375;2311.76953125;3732.65283203125;23851.58984375;22383.30859375;71334.6328125
54;1268.35791015625;0.2353329360485077;1819.1656494140625;15620.10546875;2239.010986328125;4161.94140625;23382.154296875;22317.83203125;70808.4921875
55;1550.6051025390625;0.0;1914.5150146484375;15363.421875;2474.867919921875;4384.9150390625;24480.876953125;21109.375;71278.0390625
56;1318.0745849609375;0.9413317441940308;1827.613037109375;15485.04296875;2304.06494140625;3940.02294921875;24209.8359375;22152.3671875;71237.625
57;1475.0079345703125;0.0;1947.7874755859375;15092.7080078125;2543.558837890625;3940.453369140625;24081.203125;22496.59765625;71577.015625
58;1454.2098388671875;0.0;1982.156982421875;15400.244140625;2417.177734375;4125.185546875;24267.068359375;21533.5703125;71179.140625
59;1520.239013671875;0.0;2033.7757568359375;15297.7685546875;2274.703369140625;4558.58203125;24162.30078125;21549.861328125;71396.890625
60;1521.0457763671875;0.0;1875.6864013671875;15257.294921875;2371.198486328125;4516.61865234375;24421.37890625;21782.138671875;71744.9921875
61;1327.368408203125;0.2353329360485077;1905.1512451171875;15409.40625;2217.644775390625;4329.15478515625;23104.546875;21813.458984375;70106.6328125
62;1548.1956787109375;0.0;1813.0526123046875;15553.6533203125;2261.99951171875;4347.77099609375;23284.197265625;21623.056640625;70431.65625
63;1578.4619140625;0.0;1842.3046875;14538.8154296875;2360.130615234375;4086.777587890625;23268.427734375;21478.017578125;69152.578125
