STEP;C11;GEM;NP;OCB;OCC;OCG;OCN;ONC;TOTAL
0;2806.4755859375;11098.5625;0.0;2349.905029296875;28468.271484375;1481.0220947265625;9101.9482421875;41405.68359375;96712.34375
1;2882.774658203125;11090.2255859375;0.0;2602.733642578125;27458.16796875;1685.173095703125;8815.0791015625;39010.48828125;93545.140625
2;2572.927734375;11093.8193359375;0.0;2533.48291015625;27361.69140625;1515.9462890625;9418.728515625;40984.36328125;95481.375
3;2838.754638671875;10886.5517578125;0.0;2505.48046875;27506.935546875;1492.85009765625;9105.03515625;41127.8125;95463.5546875
4;2158.1103515625;10898.19921875;0.2353329360485077;2409.1171875;28213.875;1440.89794921875;8986.7509765625;41267.48828125;95374.921875
5;2711.03173828125;11039.8388671875;0.0;2396.119384765625;27595.79296875;1553.939697265625;8850.0087890625;40909.34765625;95056.703125
6;2671.508544921875;10911.0625;0.0;2490.185302734375;27660.87890625;1310.9884033203125;8816.232421875;40735.90234375;94597.40625
7;2566.436279296875;10755.6474609375;0.0;2668.908203125;28048.33984375;1448.2293701171875;8765.1904296875;41162.55859375;95415.8203125
8;2545.45947265625;11275.306640625;0.2353329360485077;2417.548583984375;27902.17578125;1219.330078125;8614.8447265625;41048.48046875;95024.0625
9;2770.28369140625;11328.63671875;0.0;2309.837646484375;27353.431640625;1230.1414794921875;8194.4833984375;41025.21875;94212.390625
10;2857.2802734375;11547.8408203125;0.0;2598.496337890625;27954.771484375;1368.4061279296875;8716.041015625;40900.48046875;95943.5625
11;2608.218505859375;11189.1064453125;0.2353329360485077;2164.139404296875;27738.861328125;1345.23828125;8170.9814453125;41101.73046875;94319.2734375
12;2689.097900390625;11461.7353515625;0.0;2378.740234375;27265.87890625;1336.356689453125;8367.119140625;40414.2890625;93913.1953125
13;2676.687744140625;11170.1650390625;0.0;2328.21337890625;27456.1875;1473.7445068359375;8407.2275390625;41123.26171875;94635.9453125
14;2569.168212890625;11310.453125;0.0;2176.224609375;27592.068359375;1635.1761474609375;8493.0810546875;40510.37109375;94286.984375
15;2521.684814453125;11568.974609375;0.0;2727.86181640625;26896.548828125;1435.5360107421875;8684.185546875;40532.62109375;94367.8359375
16;2561.1806640625;10808.6513671875;0.0;2540.691162109375;26445.05078125;1442.2862548828125;8417.345703125;40176.63671875;92392.3984375
17;2813.66943359375;11217.3896484375;0.0;2497.330810546875;27408.017578125;1442.2938232421875;8616.9267578125;40037.171875;94033.34375
18;2799.34619140625;10371.6083984375;0.0;2464.078125;28417.392578125;1546.940673828125;8509.07421875;42113.26953125;96222.1875
19;2618.666259765625;10586.4580078125;0.0;2581.796875;28356.0390625;1466.2115478515625;8681.26953125;41261.55859375;95552.28125
