STEP;C11;DOX;NP;OCB;OCC;OCD;OCN;ONC;TOTAL
182;2594.583251953125;46405.20703125;0.0;2436.65869140625;1250.2987060546875;1776.516357421875;1977.4510498046875;14961.2626953125;71401.7734375
183;2474.096435546875;45852.20703125;0.4706658720970154;2342.600341796875;1138.4586181640625;1795.42919921875;2085.091064453125;14602.8994140625;70291.0390625
184;2718.642578125;46348.609375;0.0;2339.897705078125;1253.9835205078125;1907.0992431640625;2125.556640625;14630.4326171875;71324.1328125
185;2831.63427734375;47098.21484375;0.0;2569.77099609375;1260.07763671875;1759.3558349609375;2229.47607421875;14771.8212890625;72520.0390625
186;2591.809814453125;46125.08984375;0.0;2491.368408203125;1064.3514404296875;1828.4759521484375;2144.76416015625;15304.2060546875;71550.0390625
187;2515.6064453125;45934.9375;0.0;2578.503662109375;1148.7127685546875;1637.699462890625;2361.489013671875;15449.6513671875;71626.2265625
188;2384.92578125;46320.87109375;0.0;2339.685791015625;1020.3673706054688;1974.1951904296875;2185.416015625;15443.8623046875;71669.1875
189;2699.21533203125;46304.87890625;0.0;2553.407958984375;989.8493041992188;1739.1484375;2174.82958984375;15771.30859375;72232.4296875
190;2489.377197265625;45740.015625;0.0;2514.665283203125;1203.2218017578125;1812.4794921875;2467.042236328125;14334.3291015625;70561.0078125
191;2493.334716796875;46324.83203125;0.0;2399.6640625;1073.13232421875;1770.4112548828125;2450.7119140625;14805.796875;71317.578125
192;2266.568115234375;46015.1015625;0.0;2333.6826171875;1245.6771240234375;1736.31591796875;2447.458251953125;15197.0126953125;71241.5625
193;2358.97119140625;46693.99609375;0.0;2605.00146484375;1199.2275390625;1870.5316162109375;2441.559814453125;15742.1650390625;72911.265625
194;2531.057373046875;45793.5703125;1.1766647100448608;2578.090087890625;1129.1986083984375;1824.7747802734375;2224.985595703125;15263.1220703125;71345.9140625
195;2444.477783203125;45803.03515625;0.0;2411.761962890625;1086.5841064453125;1984.217041015625;2222.142822265625;15046.484375;70998.5
196;2181.642578125;46257.48046875;0.0;2381.0537109375;1160.1773681640625;1734.669921875;2343.296142578125;14614.8818359375;70672.90625
197;2336.380615234375;46426.06640625;0.0;2548.160400390625;1060.971923828125;1873.66162109375;2307.740234375;14706.671875;71259.5546875
198;2294.381591796875;46039.69921875;0.0;2629.177978515625;1085.097900390625;1956.46142578125;2383.040771484375;15683.8349609375;72071.5
199;2506.916015625;45818.75;0.0;2635.72265625;1168.42578125;1967.1380615234375;2368.3896484375;14889.7119140625;71354.7109375
