STEP;C11;CY5;Cl;NP;OCB;OCC;OCY;ONL;UNL;TOTAL
0;3136.8408203125;86969.5625;0.0;0.0;2183.20947265625;20692.826171875;3626.0673828125;4205.53515625;6989.02783203125;160743.84375
1;3146.033935546875;87861.6953125;0.0;0.0;2460.552978515625;20295.681640625;3915.1904296875;4338.935546875;6913.8642578125;162197.296875
2;2939.713623046875;86712.328125;0.0;0.9413317441940308;2419.822021484375;20157.1875;3788.494140625;4171.37646484375;7180.53466796875;160543.265625
3;3355.442626953125;86553.4609375;0.0;0.2353329360485077;2507.770263671875;20435.734375;3838.645263671875;4028.1318359375;7148.3759765625;160743.125
4;2999.48388671875;85341.734375;0.0;0.0;2476.84326171875;19967.375;3731.68798828125;3927.35888671875;6330.873046875;157329.046875
5;3049.46240234375;85518.8125;0.0;0.0;2362.564453125;20242.171875;3650.815673828125;4077.267578125;6661.2412109375;158586.125
6;2966.406494140625;84601.6328125;0.0;0.0;2332.027587890625;20761.880859375;3560.642333984375;4251.99072265625;6738.1015625;157675.90625
7;2718.026611328125;85228.4765625;0.0;0.0;2298.450927734375;20344.99609375;3603.6630859375;3842.90966796875;6655.978515625;157923.578125
8;2808.256103515625;84701.46875;0.0;0.0;2296.84814453125;20653.375;3625.5986328125;3925.200439453125;5975.751953125;156860.5
9;2736.40625;84159.4609375;0.0;0.0;2184.641845703125;20150.9609375;3472.033203125;4283.25;6941.95068359375;156533.203125
10;2709.923095703125;83877.6796875;0.0;0.4706658720970154;2264.658203125;20389.630859375;3426.919677734375;4236.171875;7182.1396484375;156876.890625
11;2690.59326171875;85123.1640625;0.0;1.411997675895691;2011.6737060546875;19756.48046875;3509.8076171875;4572.17333984375;7792.619140625;158543.828125
12;2619.94482421875;85601.734375;0.0;0.0;2087.90478515625;19646.30859375;3655.902099609375;4216.5947265625;7343.96728515625;158061.578125
13;2690.864501953125;85350.3125;0.0;0.0;2202.43212890625;19694.6640625;3493.8564453125;4169.169921875;7513.263671875;158051.21875
14;2682.80078125;82509.40625;0.0;0.2353329360485077;2337.1748046875;19590.955078125;3516.722900390625;4456.45361328125;7136.11767578125;154952.546875
15;2681.46142578125;84372.8125;0.0;0.7059987783432007;2263.502197265625;20584.501953125;3592.15380859375;4236.8369140625;7580.98193359375;157975.453125
16;2561.05908203125;83232.40625;0.0;0.0;2161.037353515625;19987.375;3560.010498046875;4015.359130859375;6981.32958984375;155332.46875
17;2330.318359375;84037.7421875;0.0;0.0;2057.022705078125;19865.265625;3632.83203125;3929.0859375;7143.54541015625;156106.734375
18;2516.153564453125;83738.203125;0.0;0.2353329360485077;2058.869873046875;19381.9140625;3664.24072265625;4033.421630859375;6732.19384765625;154860.359375
19;2510.416748046875;84104.0703125;0.0;0.0;2318.69140625;19695.623046875;3712.679443359375;4172.8369140625;6827.39697265625;156667.15625
20;2540.313720703125;83595.953125;0.0;0.0;2340.9716796875;19312.681640625;3791.41845703125;3797.65771484375;7052.53466796875;155268.078125
21;2148.630126953125;83420.671875;0.0;0.0;2438.552490234375;18893.037109375;3589.103515625;3964.7900390625;7097.88427734375;154748.625
22;1819.461181640625;83789.15625;0.0;0.0;2160.52587890625;18492.169921875;3385.218994140625;3885.170166015625;6623.171875;152786.578125
23;1831.478271484375;82233.2109375;0.0;0.4706658720970154;1999.0662841796875;18230.810546875;3404.215087890625;3601.92138671875;6356.654296875;151056.125
24;2170.782958984375;81836.984375;0.0;2.3533294200897217;2244.649169921875;17847.66015625;3514.919677734375;3711.428955078125;6246.6396484375;150782.203125
25;2005.857177734375;81055.359375;0.0;0.0;2276.128662109375;17413.07421875;3470.178955078125;3776.91796875;7074.09423828125;150465.046875
26;2307.627197265625;80823.828125;0.0;0.0;2100.962158203125;17545.748046875;3406.995849609375;4081.39404296875;7078.7216796875;149899.015625
27;2110.041015625;81361.25;0.0;0.0;1877.1912841796875;17176.736328125;3482.8466796875;4162.08447265625;7081.9013671875;149797.4375
28;2119.0693359375;80558.578125;0.0;0.2353329360485077;1991.2176513671875;18571.6484375;3437.31640625;4164.19921875;6994.01416015625;151223.859375
29;1816.9720458984375;79863.0625;0.0;0.0;1766.8885498046875;19107.16796875;3395.2958984375;3878.0546875;6432.46484375;149487.40625
30;2013.7830810546875;80053.8515625;0.0;0.0;1843.547607421875;18890.47265625;3237.97216796875;3803.95166015625;7091.5107421875;150386.75
