STEP;C11;CY5;Cl;NP;OCB;OCC;OCY;ONL;UNL;TOTAL
0;1894.3134765625;36944.12109375;0.0;0.0;2164.7001953125;21906.41796875;1900.7996826171875;6895.10107421875;12321.484375;97653.6328125
1;1955.8143310546875;36793.81640625;0.0;0.0;2041.928955078125;21653.572265625;1850.2855224609375;7326.3525390625;12745.9267578125;98210.0546875
2;1912.595947265625;36005.6796875;0.0;0.0;2034.7918701171875;22516.564453125;1913.7042236328125;7138.62255859375;12702.4404296875;98103.0078125
3;1790.91845703125;36125.3125;0.0;0.0;1800.1273193359375;22294.693359375;1915.2979736328125;7074.26953125;12206.166015625;97212.171875
4;1754.2767333984375;35816.11328125;0.0;0.0;2031.541015625;22084.62890625;1706.7891845703125;6813.869140625;12341.349609375;96335.8046875
5;1522.1561279296875;34910.12890625;0.0;0.0;1999.3671875;21522.482421875;1707.1004638671875;7208.14404296875;12486.5732421875;95091.4609375
6;1550.8797607421875;34696.8984375;0.0;0.2353329360485077;1805.0301513671875;21203.02734375;1719.18701171875;7087.71630859375;12374.6591796875;94424.7109375
7;1275.3359375;34414.60546875;0.0;0.2353329360485077;1817.2476806640625;21365.859375;1707.803466796875;6704.228515625;12690.0927734375;93632.5234375
8;1367.0426025390625;34808.3984375;0.0;1.1766645908355713;1777.9024658203125;21764.6328125;1674.166748046875;6605.9111328125;12485.4443359375;94142.140625
9;1379.2987060546875;35003.796875;0.0;0.0;1906.0875244140625;21116.46484375;1671.74462890625;6937.4609375;11924.9619140625;93721.8203125
10;1540.4962158203125;35653.24609375;0.0;0.4706658720970154;1917.2578125;20825.08203125;1642.2564697265625;7041.88037109375;11910.9619140625;94531.515625
11;1452.8604736328125;34343.4140625;0.0;0.0;1945.589599609375;20571.625;1873.6600341796875;6907.06103515625;11814.8369140625;92946.625
12;1670.044921875;34714.39453125;0.0;0.9413317441940308;2006.7706298828125;21236.49609375;1707.994873046875;7113.62353515625;12297.62890625;94494.8828125
13;1573.6085205078125;34290.84375;0.0;0.0;1862.1373291015625;21336.171875;1680.3365478515625;7033.89404296875;12192.4970703125;93640.9453125
14;1458.301025390625;33866.1328125;0.0;0.0;2054.1083984375;20739.83984375;1771.179443359375;6666.2841796875;12203.88671875;92317.046875
15;1227.749755859375;33557.953125;0.0;0.2353329360485077;1844.8585205078125;20283.658203125;1553.8818359375;6119.2119140625;11706.3837890625;90185.359375
16;1237.349853515625;34211.5390625;0.0;0.0;1878.2471923828125;20529.130859375;1600.9232177734375;6124.15869140625;11437.7900390625;90821.0703125
17;1223.9188232421875;34395.19921875;0.0;0.0;1710.2786865234375;19733.873046875;1753.6903076171875;6147.13720703125;11787.76171875;90585.265625
18;1119.537109375;33952.98046875;0.0;0.7059987783432007;1660.3233642578125;20594.2578125;1705.1527099609375;6696.37158203125;11673.4716796875;91224.9453125
19;1187.204345703125;34039.59375;0.0;0.0;1819.204345703125;20190.255859375;1477.9163818359375;6655.642578125;11669.69921875;90920.3671875
20;1351.7098388671875;34533.25;0.0;0.0;1645.4482421875;20110.3125;1508.9661865234375;6457.748046875;11558.27734375;91119.0703125
21;1227.239013671875;34029.703125;0.0;0.0;1600.779052734375;20049.603515625;1554.619873046875;7216.490234375;10976.419921875;90545.96875
22;1306.64599609375;33886.0390625;0.0;0.7059987783432007;1526.09326171875;19870.0234375;1512.4058837890625;6722.3369140625;12053.396484375;90468.796875
23;1045.022705078125;34355.02734375;0.0;0.0;1534.6396484375;19780.037109375;1653.83154296875;6494.251953125;11175.6826171875;89884.1171875
24;1074.2496337890625;34339.8515625;0.0;0.2353329360485077;1615.4903564453125;19795.787109375;1728.6072998046875;6519.7041015625;11393.62109375;90432.921875
25;1164.64501953125;34299.93359375;0.0;0.0;1856.94384765625;19686.1171875;1440.7520751953125;6876.13623046875;11719.427734375;90920.8125
26;1106.224365234375;33688.5546875;0.0;0.9413317441940308;1651.2723388671875;20077.494140625;1480.182861328125;6921.48779296875;12057.595703125;90904.6953125
27;1195.1610107421875;34543.5546875;0.0;1.1766647100448608;1675.6226806640625;19715.98828125;1485.5634765625;6086.5400390625;11894.0703125;90525.125
28;1402.14892578125;34134.375;0.0;0.0;1512.0732421875;20556.2890625;1400.2161865234375;6257.37841796875;11493.509765625;90487.328125
29;1286.9625244140625;34618.4296875;0.0;0.0;1500.9443359375;20234.150390625;1581.3568115234375;6109.60400390625;11497.3564453125;90682.2109375
30;1383.1981201171875;34622.36328125;0.0;0.7059987783432007;1728.8148193359375;20776.4453125;1676.5950927734375;6038.06591796875;11758.0615234375;91580.53125
31;1334.4952392578125;33182.8125;0.0;0.0;1520.0283203125;20579.533203125;1578.2296142578125;6572.94140625;10974.0859375;89469.25
