STEP;C11;NCL;NP;OCB;OCC;OCM;OCN;ONC;TOTAL
0;2387.095703125;12078.3037109375;0.4706658720970154;2189.357666015625;14982.6015625;3027.73193359375;5294.46484375;31630.849609375;71590.5546875
1;2459.01806640625;12160.1044921875;0.7059987783432007;2270.375244140625;14733.029296875;2879.702880859375;5379.22412109375;30914.048828125;70795.6328125
2;2469.507080078125;12110.0869140625;0.0;2017.182861328125;14872.81640625;2807.9462890625;5756.6220703125;30596.81640625;70630.6875
3;2167.180419921875;12460.1162109375;0.4706658720970154;2029.52685546875;15014.5068359375;2925.414794921875;5411.95166015625;30056.83203125;70065.6640625
4;2318.855712890625;12332.412109375;0.0;2494.720458984375;14913.396484375;2989.0224609375;5750.01708984375;30923.08203125;71721.25
5;2152.37841796875;11697.609375;0.0;2047.0657958984375;15040.38671875;2997.381103515625;5582.74609375;31110.876953125;70628.171875
6;2137.436279296875;11652.4052734375;0.2353329360485077;2394.62353515625;14853.3427734375;3136.322021484375;5661.90966796875;31146.826171875;70982.828125
7;2098.6494140625;11745.3603515625;0.7059987783432007;2331.94580078125;15011.2392578125;2972.31298828125;5888.7158203125;31907.595703125;71956.3046875
8;2151.002685546875;12169.5625;0.0;1994.8624267578125;14687.365234375;2857.471435546875;5887.69140625;30081.974609375;69829.5390625
9;2090.90771484375;11788.3212890625;0.2353329360485077;2577.648681640625;15079.9638671875;2846.14501953125;5761.6171875;31175.89453125;71320.3359375
10;1989.568603515625;11735.294921875;0.0;2371.091064453125;15240.751953125;3063.347900390625;5667.04931640625;30685.36328125;70752.1328125
11;1943.9483642578125;11663.7548828125;0.0;2265.782470703125;15624.244140625;2921.99609375;5586.43017578125;31253.09765625;71259.0
12;1986.77734375;11371.3037109375;0.0;2246.273193359375;15268.6748046875;2828.38623046875;5575.84423828125;30429.015625;69705.7109375
13;1786.4796142578125;11382.2119140625;0.0;2143.26025390625;15041.302734375;2820.924072265625;5295.6943359375;30830.958984375;69300.4140625
14;1851.6781005859375;11822.4716796875;0.4706658720970154;2137.07666015625;15002.6328125;2914.218994140625;5154.7158203125;30000.650390625;68883.59375
15;1995.2332763671875;11403.248046875;0.0;2130.997314453125;14576.5693359375;2840.833251953125;5636.91796875;30577.970703125;69161.5546875
16;1756.719970703125;11711.5458984375;3.529994010925293;2149.3583984375;14810.9072265625;2615.47509765625;5686.16650390625;30571.955078125;69305.5859375
17;1893.7618408203125;11270.76953125;0.2353329360485077;2127.548583984375;15122.728515625;2766.34619140625;5374.89501953125;30992.134765625;69547.9375
18;1787.3765869140625;11517.931640625;0.0;2198.3779296875;14912.3427734375;2641.71923828125;5699.70947265625;31367.0234375;70124.3359375
19;1713.90625;10913.123046875;0.0;2249.089599609375;15138.7001953125;2701.059814453125;5895.83154296875;31781.865234375;70393.0625
20;1901.2420654296875;11329.251953125;0.9413317441940308;2244.781005859375;15303.8466796875;2587.046142578125;6160.6953125;31599.419921875;71126.9765625
21;1529.2830810546875;11372.0576171875;0.0;2041.383544921875;14740.0751953125;2731.399658203125;6140.94091796875;31949.224609375;70504.1875
22;1501.110595703125;11219.09765625;0.2353329360485077;2293.556640625;14770.125;2881.195068359375;6034.64453125;31404.05078125;70103.8984375
23;1568.044189453125;11100.044921875;0.4706658720970154;2126.09814453125;14148.5244140625;2473.86279296875;5296.6357421875;31290.2421875;68003.578125
24;1535.7001953125;10969.4140625;0.4706658720970154;2266.796142578125;14687.1162109375;2711.05322265625;5310.7978515625;30490.361328125;67971.1171875
25;1683.7347412109375;10829.099609375;1.4119975566864014;2129.3447265625;15342.3701171875;2571.5810546875;5558.8818359375;31044.802734375;69160.7734375
26;1672.1148681640625;10601.4716796875;0.0;2164.34423828125;15238.931640625;2442.9931640625;5582.44921875;31392.384765625;69094.0859375
27;1606.5928955078125;10668.30859375;0.2353329360485077;1990.5267333984375;14533.5703125;2559.6904296875;5663.80126953125;32329.84765625;69352.328125
28;1685.4034423828125;11089.98046875;0.7059987783432007;2206.076416015625;14194.2255859375;2593.080078125;5709.31689453125;31187.357421875;68665.671875
29;1569.1165771484375;11082.25;1.8826634883880615;2162.574462890625;14350.171875;2434.743896484375;5320.17236328125;31608.240234375;68528.796875
30;1609.480224609375;11182.8134765625;0.0;2151.08935546875;15224.517578125;2646.955322265625;5916.18603515625;31629.56640625;70360.140625
31;1740.408935546875;10742.2685546875;0.4706658720970154;2176.46044921875;15427.900390625;2644.455810546875;5576.375;31762.40234375;70070.296875
32;1765.6849365234375;10722.44921875;1.1766647100448608;2309.234375;15358.763671875;2474.42333984375;5713.31884765625;31655.1640625;69999.8515625
33;1581.0072021484375;10617.833984375;0.7059987783432007;2129.159423828125;15210.4267578125;2450.9150390625;5698.53857421875;31536.369140625;69224.578125
34;1530.995849609375;10751.322265625;0.0;2495.180908203125;14580.91015625;2600.296630859375;5606.91552734375;31526.1328125;69091.3984375
35;1458.6759033203125;11183.7685546875;0.2353329360485077;2232.8388671875;14620.21484375;2530.204345703125;5678.3681640625;32303.689453125;70007.5390625
36;1468.750244140625;10136.94140625;0.0;2391.379638671875;15435.0546875;2670.92431640625;5819.94482421875;32884.00390625;70806.8359375
37;1476.4215087890625;10066.6123046875;0.0;2381.8720703125;15261.525390625;2648.740234375;5612.69384765625;32311.369140625;69758.9921875
38;1740.079345703125;10322.2880859375;0.0;2459.78271484375;15228.71875;2672.2626953125;6205.8154296875;31874.33203125;70503.046875
39;1650.6326904296875;10175.6728515625;0.2353329360485077;2412.767578125;14961.677734375;2783.029541015625;5462.2490234375;32011.310546875;69457.140625
40;1677.217529296875;10459.8056640625;0.4706658720970154;2351.067626953125;14855.01171875;2587.53662109375;5950.62841796875;32803.6796875;70685.0
41;1575.94580078125;10491.2138671875;0.0;2341.0126953125;15718.5888671875;2621.27099609375;5959.61181640625;32987.6015625;71695.09375
42;1567.75341796875;9943.4697265625;0.0;2524.685791015625;15234.2177734375;2565.98388671875;6236.67919921875;33508.30859375;71580.703125
43;1653.34765625;9729.373046875;0.0;2400.674072265625;15561.4072265625;2540.20263671875;5792.669921875;32824.72265625;70502.2578125
44;1640.712158203125;9897.5009765625;0.4706658720970154;2238.844482421875;15918.046875;2341.48095703125;6038.53271484375;32441.783203125;70517.125
45;1435.064208984375;10275.466796875;0.2353329360485077;2195.748046875;15197.87109375;2484.45556640625;6182.27001953125;32362.974609375;70133.796875
46;1288.5281982421875;10456.181640625;0.4706658720970154;2243.971435546875;15085.6962890625;2667.802734375;5957.9580078125;32683.484375;70383.7578125
47;1422.4608154296875;9906.978515625;0.4706658720970154;2319.516357421875;15141.88671875;2520.52685546875;6044.4833984375;32463.76953125;69819.84375
48;1613.0814208984375;10028.83984375;0.0;2210.595458984375;15473.560546875;2526.055908203125;5881.978515625;32907.41796875;70641.1484375
49;1628.889892578125;10066.021484375;2.8239951133728027;2226.940185546875;15468.0966796875;2407.42041015625;6371.21875;33314.1484375;71485.3203125
50;1620.1932373046875;9476.4052734375;0.2353329360485077;2044.2398681640625;15189.3515625;2437.025146484375;6434.3173828125;32739.232421875;69940.6796875
51;1766.2095947265625;10053.947265625;0.2353329360485077;2083.055419921875;15423.416015625;2543.2666015625;6107.87109375;32421.302734375;70399.0625
52;1518.0421142578125;9547.94921875;0.0;2010.71728515625;14839.4931640625;2326.5322265625;5748.8583984375;32019.0546875;68010.125
53;1650.4073486328125;9388.91015625;0.0;1843.0460205078125;14794.0712890625;2306.33349609375;6432.861328125;33275.12109375;69690.34375
54;1433.0107421875;9585.5712890625;1.1766647100448608;1691.5941162109375;15238.65625;2421.17724609375;5394.3232421875;32428.890625;68193.8828125
55;1477.37548828125;10142.046875;0.9413317441940308;1884.0067138671875;15335.79296875;2532.265869140625;5796.041015625;31861.884765625;69029.84375
56;1604.3646240234375;10029.9462890625;0.0;1865.46533203125;15541.8935546875;2525.469482421875;6258.79248046875;32251.494140625;70077.0078125
57;1558.4261474609375;9746.259765625;0.2353329360485077;2190.904052734375;15146.2939453125;2721.868408203125;6140.84033203125;32893.58203125;70398.296875
58;1446.1295166015625;9890.6455078125;0.2353329360485077;1969.1663818359375;15161.8994140625;2384.0078125;6153.4052734375;32068.904296875;69073.8828125
59;1323.4404296875;9988.15234375;0.0;2170.937744140625;15354.8125;2513.06884765625;6195.1865234375;32070.072265625;69615.4140625
60;1469.4022216796875;9847.732421875;0.0;1838.7872314453125;15323.4921875;2608.78369140625;5825.9833984375;30866.671875;67780.46875
61;1539.2899169921875;9959.1650390625;0.9413317441940308;2461.72119140625;15839.27734375;2437.29443359375;6222.5146484375;32856.74609375;71316.5546875
62;1344.82177734375;9975.83984375;0.4706658720970154;2114.45263671875;15323.923828125;2514.437255859375;6136.7861328125;32167.451171875;69577.6171875
63;1349.9664306640625;9995.4892578125;0.4706658720970154;2039.6776123046875;15416.9609375;2451.5078125;6075.78857421875;32284.013671875;69613.3671875
64;1262.1407470703125;10081.0400390625;1.411997675895691;2197.738525390625;15365.9501953125;2480.679443359375;6130.7470703125;32054.306640625;69573.6875
65;1215.484130859375;10598.810546875;0.7059987783432007;2104.039794921875;16030.3662109375;2437.3310546875;6089.24658203125;33219.4765625;71695.1640625
66;1412.09765625;10050.37890625;0.0;2083.26171875;15559.087890625;2339.0048828125;6013.04296875;32859.953125;70316.484375
67;1208.1046142578125;9695.1240234375;0.0;2191.362548828125;15281.9033203125;2459.60888671875;5948.77392578125;32720.611328125;69505.1171875
68;1258.5472412109375;9533.98828125;0.4706658720970154;2069.201904296875;15384.0478515625;2306.976806640625;6262.43701171875;32165.658203125;68980.84375
