STEP;C11;NP;OCB;OCC;OCW;WYC;TOTAL
109;1077.6494140625;0.0;771.0548095703125;7184.3642578125;1494.545654296875;14684.294921875;25211.857421875
110;1199.395263671875;0.0;709.7901611328125;7354.88427734375;1556.3160400390625;14618.8134765625;25439.177734375
111;1178.1903076171875;0.0;714.922119140625;7097.60498046875;1535.8951416015625;14419.4638671875;24946.091796875
112;1107.890380859375;0.2353329360485077;748.306396484375;7081.380859375;1653.4420166015625;14331.626953125;24922.83203125
113;1007.8436889648438;0.0;678.1255493164063;7050.677734375;1591.924072265625;14393.75390625;24722.326171875
114;803.1563720703125;0.0;758.6239013671875;7465.63720703125;1584.131591796875;14597.0810546875;25208.626953125
115;903.8981323242188;0.9413317441940308;723.3883056640625;7322.90771484375;1614.05712890625;14358.7333984375;24923.9453125
116;949.7501831054688;0.0;655.5869140625;7750.06591796875;1550.992919921875;13904.5009765625;24810.904296875
117;947.4661865234375;0.0;571.3561401367188;7640.53466796875;1456.9351806640625;13806.9130859375;24423.17578125
118;999.1267700195313;0.2353329360485077;577.520263671875;7025.8818359375;1473.556396484375;14051.400390625;24127.70703125
119;840.6868896484375;0.2353329360485077;707.1353149414063;7370.23828125;1374.3631591796875;14321.8955078125;24614.5234375
120;1069.3782958984375;0.0;607.8736572265625;7166.994140625;1419.48291015625;14249.1845703125;24512.912109375
121;963.401123046875;0.2353329360485077;703.6907958984375;7226.9560546875;1467.99072265625;14563.2138671875;24925.515625
122;994.7838134765625;0.0;807.5213623046875;7210.888671875;1623.0386962890625;14259.30078125;24895.505859375
123;1034.700927734375;0.2353329360485077;721.91796875;7522.2509765625;1411.764404296875;14076.033203125;24766.908203125
124;1084.81396484375;0.0;623.0963134765625;7061.14111328125;1489.6654052734375;14114.60546875;24373.3125
125;961.1845092773438;0.0;752.2837524414063;7348.07470703125;1546.259033203125;14352.94140625;24960.748046875
126;1007.1077270507813;0.0;690.639892578125;6985.4892578125;1625.4102783203125;13960.14453125;24268.775390625
127;1076.3819580078125;0.0;703.6822509765625;7535.69873046875;1427.4296875;13778.75;24521.890625
128;863.8130493164063;0.0;751.8947143554688;7112.5615234375;1544.42578125;13938.2763671875;24210.9609375
129;1060.0692138671875;0.0;729.7896118164063;7168.79443359375;1466.0064697265625;13988.2021484375;24412.833984375
130;1018.628173828125;0.0;567.4127197265625;7352.72607421875;1508.98828125;13713.6650390625;24161.400390625
