STEP;C11;DOX;NP;OCB;OCC;OCD;OCN;ONC;TOTAL
0;4102.06982421875;53080.20703125;0.2353329360485077;2425.324951171875;6720.935546875;2064.943359375;3273.831298828125;17861.921875;89530.296875
1;3906.0458984375;51936.28515625;3.529994010925293;2669.6171875;6566.25146484375;2152.87890625;3152.053955078125;16634.7578125;87021.9453125
2;3994.011962890625;51913.8828125;3.765326976776123;2500.71435546875;6324.9453125;2257.216064453125;3295.35400390625;17704.236328125;87994.8828125
3;3822.619384765625;51492.125;2.3533294200897217;2455.328369140625;6526.2734375;2396.18017578125;3279.853759765625;17862.32421875;87837.90625
4;3493.297119140625;51482.65234375;6.118656635284424;2468.2431640625;6050.96923828125;2149.56396484375;2910.68115234375;16626.763671875;85189.1875
5;3595.16162109375;51567.78125;2.8239951133728027;2487.5703125;6427.46337890625;2229.951171875;2964.8818359375;16488.59375;85764.7890625
6;3583.418701171875;51539.94140625;5.883323669433594;2678.3818359375;5829.96240234375;2030.4920654296875;3145.928466796875;15952.2841796875;84766.71875
7;3692.066650390625;50784.7265625;0.0;2644.578369140625;6331.46533203125;2260.591796875;3194.338134765625;16984.0546875;85892.203125
8;3365.669677734375;51937.30078125;0.2353329360485077;2490.64453125;5914.611328125;2133.373046875;3205.048828125;16537.080078125;85584.6015625
9;3350.13330078125;51867.26953125;3.765326976776123;2685.37451171875;5917.3837890625;2357.682861328125;3294.5322265625;17703.763671875;87180.359375
10;3266.775390625;51788.28515625;1.1766645908355713;2488.177490234375;5742.45556640625;1969.71337890625;3027.196044921875;16943.3125;85227.828125
11;2999.609130859375;51589.29296875;1.1766647100448608;2530.657958984375;5639.681640625;2124.9052734375;3068.024658203125;16468.052734375;84421.90625
12;3066.17578125;51175.23828125;0.4706658720970154;2341.5673828125;5718.35107421875;2019.4703369140625;3196.88623046875;16585.009765625;84103.765625
13;2958.045654296875;49883.37109375;3.059328079223633;2428.223388671875;5080.53857421875;1763.8653564453125;3035.03076171875;16960.8359375;82113.5
14;3215.5966796875;49496.45703125;3.294661045074463;2238.00927734375;5629.20849609375;2076.056640625;3277.878173828125;17299.404296875;83236.515625
15;3117.09619140625;50273.4375;2.5886621475219727;2671.8349609375;5164.18603515625;1911.05517578125;3193.33203125;16632.09375;82966.015625
16;3021.144775390625;49909.62890625;1.4119975566864014;2262.65576171875;5629.07568359375;1745.6041259765625;3045.73095703125;17103.052734375;82718.640625
17;2958.38818359375;49596.69921875;4.000659942626953;2434.13427734375;5601.01171875;1791.650390625;3132.781494140625;17658.05859375;83177.0546875
18;3319.51513671875;49169.23046875;2.3533291816711426;2328.3017578125;5460.19970703125;1842.5302734375;3006.3828125;17268.77734375;82397.9921875
19;3245.490234375;48301.05859375;1.1766647100448608;2369.086669921875;5521.96240234375;1844.1036376953125;3098.9853515625;16811.8125;81193.984375
20;3052.917724609375;49150.37890625;0.9413317441940308;2317.6943359375;4861.40087890625;1759.8365478515625;3060.973388671875;17465.798828125;81670.15625
21;3218.088623046875;48940.99609375;0.2353329360485077;2501.616943359375;5545.513671875;1679.12109375;3102.190185546875;17772.306640625;82760.34375
22;3160.133544921875;48827.71875;0.0;2134.570556640625;5360.462890625;1702.0877685546875;3063.918212890625;17107.427734375;81356.9453125
23;3393.027587890625;48983.9140625;2.3533294200897217;2304.701904296875;5353.76806640625;1789.1754150390625;2920.0986328125;17392.748046875;82140.2265625
24;3101.55029296875;48892.48046875;4.235992908477783;2288.465087890625;5362.31201171875;1793.317626953125;2956.60693359375;17441.30078125;81840.4453125
25;3249.500244140625;48425.08984375;3.059328317642212;2348.310791015625;5686.8173828125;1750.595458984375;3055.498291015625;16863.369140625;81382.3984375
