STEP;C11;NP;OCB;OCN;ONC;TOTAL
0;5454.57080078125;1.8826634883880615;5485.49755859375;7645.44384765625;45119.96875;63706.92578125
1;5473.74609375;4.235992908477783;5547.52392578125;7398.76953125;44425.12890625;62848.953125
2;5026.06005859375;2.8239951133728027;5495.18212890625;6972.880859375;43582.91796875;61079.45703125
3;5486.68115234375;1.6473305225372314;5046.26416015625;7285.65771484375;44052.8671875;61872.59375
4;5505.05078125;0.0;5566.8671875;7569.41015625;43718.63671875;62359.49609375
5;5125.14599609375;1.1766647100448608;4956.55126953125;7211.10888671875;43641.3671875;60934.83984375
6;5579.0888671875;2.8239951133728027;5649.23388671875;7277.03173828125;43813.546875;62321.27734375
7;5474.99267578125;7.059988021850586;5454.3681640625;7179.22216796875;44342.359375;62457.52734375
8;5142.7880859375;1.6473305225372314;5192.947265625;7347.19482421875;43846.74609375;61530.82421875
9;5287.66943359375;1.1766647100448608;4682.35546875;6788.51611328125;43650.39453125;60409.65625
10;5419.10693359375;1.6473305225372314;5199.88720703125;7125.6552734375;44288.0078125;62033.78515625
11;5246.7021484375;3.059328079223633;5620.6962890625;7263.35400390625;44679.43359375;62812.79296875
12;4789.83544921875;0.0;5261.2412109375;6635.7763671875;44437.7578125;61124.04296875
13;5007.07373046875;0.9413317441940308;5468.193359375;7008.54296875;44151.50390625;61635.7421875
14;5112.91748046875;1.4119975566864014;5128.04345703125;7459.44970703125;44438.1953125;62139.44921875
15;4845.08251953125;3.529994010925293;5418.51708984375;7037.6162109375;43596.921875;60901.1640625
16;5177.6484375;3.529994010925293;5447.02783203125;7426.88623046875;43304.01171875;61358.66796875
17;4997.86181640625;0.0;5453.19921875;7151.93310546875;43666.546875;61269.0703125
18;5590.53515625;0.2353329360485077;5166.6943359375;7162.333984375;44292.921875;62212.0859375
19;4946.88916015625;2.5886621475219727;5236.3193359375;6770.1298828125;44326.74609375;61282.1796875
20;5147.181640625;1.1766645908355713;5634.60791015625;6957.56298828125;43846.40625;61586.546875
21;5272.1767578125;1.6473305225372314;5743.43701171875;7567.994140625;44227.765625;62812.46875
22;5430.2314453125;0.7059987783432007;5592.18994140625;7059.7841796875;42439.41015625;60521.83203125
23;5612.25341796875;0.4706658720970154;5500.70263671875;7122.1298828125;44181.0390625;62416.12890625
24;5022.61767578125;2.8239951133728027;5307.865234375;6904.880859375;44475.2109375;61712.9140625
25;5890.22802734375;2.3533294200897217;5659.3203125;7060.15966796875;43893.796875;62505.41015625
26;5579.0380859375;0.4706658720970154;5380.73046875;6871.72119140625;44111.1171875;61942.58984375
27;5862.701171875;0.2353329360485077;5621.078125;7199.67822265625;43895.578125;62578.71484375
28;5448.79931640625;2.823995351791382;5568.01220703125;7114.90380859375;44598.44921875;62732.4140625
29;5021.26416015625;0.4706658720970154;5415.5478515625;7052.90771484375;43214.1015625;60703.8359375
30;5408.43798828125;0.0;5194.775390625;7196.4501953125;44437.36328125;62236.58984375
31;5543.1181640625;0.4706658720970154;5093.90869140625;6612.46142578125;45397.609375;62647.0546875
32;5776.92822265625;1.1766645908355713;5806.68603515625;6813.197265625;43693.46484375;62090.95703125
33;5817.029296875;0.0;5443.0732421875;7387.32275390625;44004.82421875;62651.84375
34;5889.58349609375;0.0;5822.19384765625;7060.607421875;45211.046875;63982.99609375
35;5702.3994140625;0.9413317441940308;5579.380859375;7227.34521484375;44436.88671875;62946.4296875
36;5811.7978515625;0.2353329360485077;5863.65576171875;6952.11328125;44953.2421875;63580.61328125
37;4994.26953125;0.4706658720970154;5145.3701171875;7132.2373046875;43943.515625;61215.296875
38;5346.38720703125;0.2353329360485077;5360.68115234375;7228.63818359375;44082.41796875;62017.921875
39;5157.70654296875;0.9413317441940308;5420.64892578125;7427.7119140625;43276.3671875;61282.8671875
40;5732.6796875;1.8826634883880615;5941.1298828125;7285.52880859375;45037.99609375;63998.72265625
41;5346.80126953125;0.0;5212.732421875;7003.30810546875;44244.671875;61807.046875
42;5486.34765625;0.4706658720970154;5571.29638671875;7442.939453125;44850.60546875;63351.26171875
43;5150.55517578125;1.1766647100448608;5422.25439453125;7313.50048828125;44093.80859375;61980.74609375
44;5329.22802734375;1.647330641746521;5253.02099609375;7395.8037109375;44259.46484375;62238.671875
45;5475.0947265625;1.1766645908355713;5435.759765625;7628.89794921875;44545.1640625;63085.6328125
46;5677.67626953125;1.8826634883880615;5330.94775390625;6827.02490234375;43543.44140625;61380.53515625
47;5408.279296875;0.7059987783432007;5545.59814453125;7330.439453125;44719.95703125;63004.49609375
48;5333.73974609375;2.1179964542388916;5568.04345703125;7599.970703125;44183.46484375;62686.85546875
49;5886.87255859375;1.8826634883880615;5521.1220703125;7463.8369140625;44880.58203125;63753.84375
50;5571.03076171875;0.9413317441940308;5759.9638671875;7762.3466796875;44048.05078125;63141.875
51;5060.68017578125;0.0;5496.6669921875;7358.4150390625;44041.51171875;61956.71875
52;5208.93310546875;0.0;5544.5869140625;7336.91748046875;44343.55078125;62433.44921875
53;5308.34716796875;1.4119975566864014;5434.57568359375;7376.9892578125;43768.4296875;61889.32421875
54;5997.8544921875;1.882663369178772;5100.17236328125;7227.80810546875;45474.7109375;63801.90234375
55;5623.142578125;0.4706658720970154;5258.8271484375;7485.49267578125;44445.8671875;62813.140625
56;5623.02392578125;3.294661045074463;5547.8603515625;7094.7158203125;43986.14453125;62254.515625
