STEP;C11;NP;OCB;OCC;OCN;OCW;ONC;WYC;TOTAL
15;3468.333984375;0.0;3823.987548828125;13217.6005859375;2616.832763671875;3519.891357421875;17072.98828125;33847.30078125;77566.9140625
16;3650.438232421875;0.0;3496.880859375;12941.3818359375;2669.0048828125;3508.90576171875;17495.947265625;33501.125;77263.6171875
17;3614.532470703125;0.0;3601.800537109375;12373.26171875;2577.371337890625;3574.643798828125;17019.03125;33006.21875;75766.5078125
18;2956.9599609375;0.0;3231.521484375;12369.9384765625;2539.7333984375;3431.483642578125;17167.3203125;32665.08984375;74361.875
19;3391.794189453125;0.0;3437.193603515625;12518.3125;2508.516845703125;3342.858154296875;16946.759765625;32401.66796875;74546.953125
20;3315.39501953125;0.0;3482.6552734375;12466.6689453125;2500.072021484375;3335.581787109375;17570.30859375;32500.580078125;75171.109375
21;3019.08642578125;0.0;3538.138671875;12289.9130859375;2612.10302734375;3076.3837890625;17802.931640625;32759.30078125;75097.421875
22;2754.55126953125;0.0;3109.1416015625;12440.32421875;2622.355712890625;3181.390380859375;18064.798828125;32422.0859375;74594.203125
23;2888.26611328125;0.0;2971.46875;12276.2265625;2372.913330078125;3355.502685546875;17845.71875;32674.96484375;74385.0
24;2829.3837890625;0.0;3084.622314453125;12587.0166015625;2708.205810546875;3529.65966796875;18054.4140625;32420.25390625;75213.4609375
25;3102.558349609375;0.0;3314.280029296875;12591.6123046875;2721.536376953125;3575.919189453125;17898.595703125;32140.16015625;75344.6484375
26;2805.86279296875;0.0;3136.677978515625;12575.1416015625;2731.01025390625;3485.334228515625;17391.900390625;32145.076171875;74271.078125
27;3199.198486328125;0.0;3226.076904296875;12375.7958984375;2623.64697265625;3647.25634765625;17707.369140625;32827.54296875;75606.8125
28;3055.9150390625;0.0;3636.22998046875;12831.068359375;2593.132568359375;3426.97021484375;18042.833984375;32549.9296875;76136.21875
29;2936.9775390625;0.0;3486.5517578125;11682.3427734375;2719.327392578125;3726.0810546875;18379.830078125;32192.64453125;75123.3359375
30;2624.08544921875;0.0;3392.71630859375;11937.083984375;2521.6015625;3579.67333984375;17862.232421875;31944.912109375;73861.9453125
31;2680.383544921875;0.0;3743.637939453125;11861.42578125;2644.38134765625;3626.191162109375;17416.193359375;31967.736328125;73939.6171875
32;3055.172119140625;0.0;3483.0107421875;11675.9013671875;2533.770751953125;3415.18994140625;16697.68359375;31762.943359375;72623.1953125
33;3028.200439453125;0.0;3273.46728515625;11824.5390625;2714.774169921875;3529.785400390625;17243.115234375;32038.060546875;73651.8125
